#item,x,y,width,height,label
0,424.0,731.0,111.0,56.0,1
1,348.0,601.0,71.0,57.0,1
2,0.0,233.0,51.0,60.0,1
3,5.0,843.0,89.0,65.0,1
4,59.0,246.0,43.0,45.0,1
5,949.0,556.0,73.0,67.0,1
6,146.0,605.0,69.0,84.0,1
7,517.0,763.0,70.0,50.0,1
8,945.0,901.0,74.0,69.0,1
9,107.0,897.0,48.0,82.0,1
10,717.0,602.0,54.0,50.0,1
11,413.0,374.0,73.0,114.0,1
12,272.0,987.0,40.0,37.0,1
13,395.0,509.0,76.0,85.0,1
14,473.0,433.0,49.0,132.0,1
15,262.0,158.0,43.0,42.0,1
16,205.0,886.0,46.0,40.0,1
17,823.0,653.0,72.0,51.0,1
18,827.0,584.0,81.0,48.0,1
19,375.0,987.0,62.0,36.0,1
20,936.0,758.0,37.0,71.0,1
21,400.0,109.0,49.0,60.0,1
22,824.0,536.0,49.0,33.0,1
23,602.0,634.0,97.0,57.0,1
24,638.0,775.0,63.0,64.0,1
25,22.0,605.0,82.0,49.0,1
26,388.0,671.0,112.0,62.0,1
27,3.0,0.0,70.0,59.0,1
28,281.0,691.0,58.0,63.0,1
29,85.0,673.0,47.0,37.0,1
30,432.0,964.0,63.0,57.0,1
31,613.0,971.0,50.0,52.0,1
32,175.0,1.0,87.0,37.0,1
33,879.0,885.0,42.0,56.0,1
34,106.0,83.0,48.0,55.0,1
35,985.0,419.0,39.0,119.0,1
36,499.0,974.0,69.0,41.0,1
37,894.0,640.0,98.0,46.0,1
38,204.0,265.0,49.0,121.0,1
39,408.0,81.0,70.0,47.0,1
40,53.0,114.0,52.0,57.0,1
41,823.0,55.0,59.0,42.0,1
42,353.0,476.0,83.0,46.0,1
43,489.0,605.0,84.0,72.0,1
44,93.0,139.0,76.0,55.0,1
45,7.0,657.0,46.0,34.0,1
