#item,x,y,width,height,label
0,602.0,339.0,75.0,61.0,1
1,179.0,321.0,68.0,44.0,1
2,864.0,132.0,46.0,53.0,1
3,288.0,333.0,86.0,62.0,1
4,564.0,412.0,48.0,45.0,1
5,998.0,596.0,26.0,42.0,1
6,434.0,511.0,46.0,34.0,1
7,414.0,441.0,129.0,60.0,1
8,417.0,177.0,158.0,93.0,1
9,693.0,191.0,124.0,73.0,1
10,983.0,69.0,41.0,57.0,1
11,74.0,326.0,95.0,85.0,1
12,729.0,530.0,66.0,57.0,1
13,610.0,295.0,64.0,40.0,1
14,426.0,652.0,47.0,64.0,1
15,345.0,333.0,59.0,49.0,1
16,470.0,163.0,200.0,66.0,1
17,361.0,464.0,66.0,46.0,1
18,697.0,697.0,48.0,48.0,1
19,714.0,774.0,98.0,50.0,1
20,715.0,321.0,64.0,53.0,1
21,242.0,536.0,74.0,49.0,1
22,10.0,333.0,58.0,47.0,1
23,647.0,30.0,78.0,91.0,1
24,868.0,406.0,91.0,99.0,1
25,786.0,0.0,73.0,114.0,1
26,771.0,471.0,95.0,110.0,1
27,848.0,857.0,142.0,146.0,1
28,592.0,868.0,167.0,107.0,1
29,617.0,718.0,59.0,88.0,1
30,290.0,422.0,53.0,83.0,1
31,0.0,828.0,121.0,63.0,1
32,329.0,938.0,62.0,43.0,1
33,467.0,480.0,35.0,32.0,1
34,770.0,426.0,57.0,37.0,1
35,998.0,684.0,26.0,41.0,1
36,830.0,204.0,107.0,53.0,1
37,788.0,943.0,54.0,78.0,1
38,368.0,833.0,50.0,57.0,1
39,190.0,29.0,53.0,96.0,1
40,642.0,0.0,79.0,30.0,1
41,270.0,961.0,97.0,50.0,1
42,0.0,659.0,31.0,98.0,1
43,480.0,898.0,63.0,56.0,1
44,665.0,147.0,73.0,43.0,1
45,253.0,161.0,67.0,55.0,1
46,341.0,1.0,73.0,55.0,1
47,456.0,247.0,93.0,73.0,1
48,643.0,465.0,59.0,37.0,1
49,810.0,755.0,176.0,60.0,1
50,940.0,439.0,70.0,42.0,1
51,705.0,498.0,53.0,43.0,1
52,10.0,149.0,71.0,39.0,1
53,543.0,97.0,132.0,59.0,1
54,297.0,263.0,50.0,42.0,1
55,408.0,936.0,71.0,88.0,1
56,390.0,333.0,166.0,87.0,1
57,901.0,736.0,117.0,90.0,1
58,180.0,122.0,63.0,50.0,1
59,719.0,909.0,68.0,38.0,1
