#item,x,y,width,height,label
0,833.0,221.0,54.0,70.0,1
1,537.0,344.0,75.0,113.0,1
2,611.0,894.0,115.0,93.0,1
3,300.0,264.0,73.0,65.0,1
4,673.0,417.0,66.0,60.0,1
5,351.0,804.0,100.0,80.0,1
6,853.0,331.0,120.0,101.0,1
7,693.0,476.0,61.0,45.0,1
8,738.0,447.0,76.0,62.0,1
9,559.0,5.0,83.0,52.0,1
10,62.0,882.0,45.0,51.0,1
11,129.0,194.0,106.0,87.0,1
12,41.0,343.0,93.0,160.0,1
13,757.0,99.0,144.0,65.0,1
14,475.0,443.0,115.0,87.0,1
15,902.0,887.0,122.0,112.0,1
16,738.0,513.0,66.0,83.0,1
17,887.0,791.0,91.0,65.0,1
18,619.0,45.0,64.0,66.0,1
19,380.0,0.0,62.0,30.0,1
20,49.0,961.0,68.0,62.0,1
21,0.0,205.0,98.0,159.0,1
22,293.0,416.0,64.0,126.0,1
23,503.0,142.0,101.0,59.0,1
24,665.0,292.0,124.0,86.0,1
25,394.0,407.0,94.0,146.0,1
26,134.0,880.0,38.0,53.0,1
27,291.0,940.0,55.0,73.0,1
28,70.0,126.0,114.0,64.0,1
29,103.0,752.0,77.0,67.0,1
30,694.0,42.0,70.0,78.0,1
