#item,x,y,width,height,label
0,363.0,519.0,110.0,128.0,1
1,2.0,862.0,64.0,92.0,1
2,680.0,869.0,44.0,42.0,1
3,734.0,38.0,51.0,82.0,1
4,334.0,413.0,72.0,92.0,1
5,305.0,948.0,64.0,61.0,1
6,474.0,319.0,89.0,77.0,1
7,328.0,12.0,66.0,140.0,1
8,125.0,403.0,79.0,82.0,1
9,707.0,488.0,76.0,97.0,1
10,519.0,805.0,71.0,72.0,1
11,602.0,151.0,59.0,88.0,1
12,710.0,142.0,111.0,76.0,1
13,925.0,112.0,53.0,75.0,1
14,340.0,770.0,123.0,115.0,1
15,966.0,143.0,58.0,71.0,1
16,465.0,74.0,64.0,158.0,1
17,430.0,440.0,66.0,80.0,1
18,243.0,398.0,69.0,54.0,1
