#item,x,y,width,height,label
0,759.0,1000.0,74.0,24.0,1
1,0.0,786.0,83.0,50.0,1
2,202.0,429.0,59.0,67.0,1
3,100.0,440.0,76.0,63.0,1
4,526.0,783.0,93.0,72.0,1
5,225.0,0.0,107.0,47.0,1
6,257.0,223.0,64.0,41.0,1
7,12.0,840.0,73.0,61.0,1
8,273.0,843.0,66.0,61.0,1
9,75.0,817.0,59.0,58.0,1
10,869.0,716.0,50.0,56.0,1
11,13.0,710.0,169.0,74.0,1
12,149.0,194.0,76.0,82.0,1
13,930.0,0.0,70.0,47.0,1
14,686.0,374.0,87.0,71.0,1
15,403.0,0.0,141.0,51.0,1
16,645.0,944.0,127.0,57.0,1
17,378.0,879.0,63.0,145.0,1
18,762.0,893.0,87.0,78.0,1
19,36.0,49.0,65.0,34.0,1
20,406.0,251.0,78.0,75.0,1
21,470.0,621.0,71.0,55.0,1
22,789.0,494.0,107.0,101.0,1
23,568.0,697.0,47.0,53.0,1
24,613.0,485.0,53.0,87.0,1
25,653.0,8.0,105.0,118.0,1
26,900.0,832.0,74.0,71.0,1
27,250.0,666.0,85.0,67.0,1
28,169.0,637.0,127.0,54.0,1
29,81.0,576.0,52.0,51.0,1
30,530.0,695.0,47.0,82.0,1
31,960.0,989.0,64.0,35.0,1
32,927.0,509.0,75.0,107.0,1
33,819.0,978.0,75.0,46.0,1
34,0.0,0.0,55.0,53.0,1
35,734.0,521.0,64.0,53.0,1
36,246.0,798.0,45.0,51.0,1
37,346.0,649.0,75.0,65.0,1
38,815.0,224.0,67.0,109.0,1
39,369.0,309.0,64.0,86.0,1
40,271.0,105.0,98.0,103.0,1
41,485.0,959.0,63.0,65.0,1
42,903.0,428.0,67.0,79.0,1
43,172.0,724.0,71.0,56.0,1
44,456.0,686.0,64.0,66.0,1
45,287.0,490.0,104.0,66.0,1
46,929.0,145.0,95.0,142.0,1
47,423.0,60.0,107.0,89.0,1
48,676.0,544.0,70.0,75.0,1
49,691.0,735.0,66.0,53.0,1
50,669.0,467.0,62.0,66.0,1
51,769.0,591.0,60.0,52.0,1
52,899.0,111.0,62.0,51.0,1
53,1.0,71.0,91.0,64.0,1
54,298.0,586.0,57.0,50.0,1
55,613.0,717.0,71.0,51.0,1
56,376.0,470.0,90.0,60.0,1
57,892.0,44.0,83.0,53.0,1
58,608.0,606.0,68.0,56.0,1
59,844.0,791.0,68.0,87.0,1
