#item,x,y,width,height,label
0,921.0,652.0,87.0,82.0,1
1,793.0,550.0,123.0,77.0,1
2,883.0,760.0,141.0,115.0,1
3,714.0,189.0,148.0,113.0,1
4,76.0,128.0,226.0,220.0,1
5,819.0,122.0,125.0,62.0,1
6,738.0,0.0,194.0,128.0,1
7,936.0,148.0,88.0,113.0,1
8,796.0,629.0,143.0,64.0,1
9,68.0,465.0,148.0,154.0,1
10,788.0,509.0,215.0,146.0,1
11,911.0,284.0,113.0,105.0,1
12,611.0,780.0,87.0,81.0,1
13,902.0,574.0,122.0,87.0,1
14,61.0,936.0,228.0,88.0,1
15,806.0,217.0,166.0,159.0,1
16,706.0,517.0,102.0,71.0,1
17,0.0,742.0,135.0,110.0,1
18,69.0,785.0,115.0,128.0,1
19,752.0,8.0,94.0,57.0,1
