#item,x,y,width,height,label
0,1.0,362.0,78.0,86.0,1
1,889.0,35.0,86.0,144.0,1
2,1.0,1.0,34.0,47.0,1
3,0.0,684.0,105.0,180.0,1
4,108.0,0.0,83.0,87.0,1
5,989.0,815.0,35.0,52.0,1
6,552.0,893.0,93.0,91.0,1
7,308.0,374.0,96.0,102.0,1
8,53.0,551.0,34.0,25.0,1
9,352.0,882.0,119.0,80.0,1
10,212.0,925.0,107.0,94.0,1
11,810.0,738.0,50.0,52.0,1
12,615.0,503.0,72.0,71.0,1
13,643.0,84.0,73.0,76.0,1
14,703.0,431.0,57.0,45.0,1
15,996.0,256.0,28.0,67.0,1
16,1.0,448.0,52.0,105.0,1
17,0.0,823.0,35.0,49.0,1
18,494.0,438.0,47.0,44.0,1
19,104.0,739.0,82.0,92.0,1
20,402.0,673.0,141.0,101.0,1
21,321.0,173.0,98.0,130.0,1
22,598.0,310.0,140.0,107.0,1
23,852.0,545.0,74.0,80.0,1
24,803.0,434.0,167.0,101.0,1
25,391.0,850.0,80.0,47.0,1
26,915.0,786.0,73.0,67.0,1
27,1004.0,879.0,20.0,41.0,1
