#item,x,y,width,height,label
0,314.0,348.0,221.0,94.0,1
1,248.0,453.0,153.0,92.0,1
2,35.0,223.0,113.0,68.0,1
3,0.0,908.0,87.0,98.0,1
4,56.0,314.0,120.0,128.0,1
5,76.0,796.0,177.0,71.0,1
6,58.0,76.0,200.0,154.0,1
7,391.0,253.0,179.0,107.0,1
8,921.0,125.0,103.0,84.0,1
9,6.0,667.0,113.0,80.0,1
10,186.0,611.0,146.0,77.0,1
11,0.0,604.0,109.0,62.0,1
12,156.0,322.0,166.0,108.0,1
13,842.0,926.0,182.0,69.0,1
14,716.0,747.0,169.0,108.0,1
15,901.0,348.0,112.0,82.0,1
16,748.0,0.0,120.0,33.0,1
17,366.0,194.0,151.0,110.0,1
18,686.0,232.0,189.0,103.0,1
19,343.0,194.0,140.0,50.0,1
20,386.0,3.0,163.0,110.0,1
21,542.0,174.0,159.0,69.0,1
22,953.0,255.0,71.0,59.0,1
23,0.0,410.0,98.0,85.0,1
24,852.0,862.0,166.0,72.0,1
25,0.0,268.0,60.0,67.0,1
26,898.0,476.0,123.0,66.0,1
27,775.0,563.0,181.0,135.0,1
28,270.0,3.0,106.0,81.0,1
29,864.0,683.0,160.0,55.0,1
30,128.0,673.0,104.0,71.0,1
31,104.0,867.0,149.0,131.0,1
32,153.0,476.0,151.0,74.0,1
33,934.0,630.0,89.0,51.0,1
34,13.0,2.0,170.0,45.0,1
35,0.0,135.0,107.0,69.0,1
36,184.0,212.0,159.0,82.0,1
37,216.0,0.0,87.0,60.0,1
38,16.0,537.0,119.0,57.0,1
39,176.0,133.0,182.0,99.0,1
40,0.0,175.0,94.0,73.0,1
41,875.0,737.0,141.0,84.0,1
