#item,x,y,width,height,label
0,731.0,496.0,129.0,99.0,1
1,260.0,231.0,165.0,80.0,1
2,0.0,204.0,116.0,71.0,1
3,616.0,0.0,116.0,51.0,1
4,624.0,60.0,115.0,83.0,1
5,241.0,116.0,87.0,97.0,1
6,979.0,771.0,45.0,66.0,1
7,411.0,385.0,236.0,92.0,1
8,162.0,384.0,105.0,76.0,1
9,668.0,732.0,100.0,87.0,1
10,948.0,159.0,76.0,81.0,1
11,8.0,469.0,105.0,54.0,1
12,873.0,280.0,74.0,68.0,1
13,496.0,998.0,70.0,26.0,1
14,960.0,80.0,64.0,86.0,1
15,735.0,241.0,95.0,64.0,1
16,418.0,135.0,229.0,93.0,1
17,624.0,618.0,163.0,97.0,1
18,0.0,26.0,94.0,122.0,1
19,813.0,601.0,79.0,64.0,1
20,918.0,391.0,106.0,64.0,1
21,45.0,969.0,81.0,55.0,1
22,678.0,352.0,144.0,70.0,1
23,517.0,295.0,98.0,94.0,1
24,888.0,709.0,58.0,93.0,1
25,827.0,11.0,96.0,107.0,1
26,542.0,0.0,72.0,72.0,1
27,799.0,881.0,131.0,80.0,1
28,0.0,549.0,115.0,66.0,1
29,918.0,979.0,66.0,45.0,1
30,443.0,804.0,104.0,83.0,1
