#item,x,y,width,height,label
0,951.0,870.0,73.0,124.0,1
1,760.0,81.0,121.0,133.0,1
2,458.0,868.0,77.0,71.0,1
3,793.0,238.0,109.0,110.0,1
4,82.0,502.0,104.0,70.0,1
5,121.0,962.0,109.0,61.0,1
6,188.0,307.0,65.0,84.0,1
7,0.0,0.0,77.0,46.0,1
8,559.0,677.0,110.0,83.0,1
9,190.0,216.0,75.0,77.0,1
10,179.0,132.0,91.0,99.0,1
11,552.0,539.0,105.0,72.0,1
12,902.0,358.0,122.0,83.0,1
13,868.0,6.0,152.0,89.0,1
14,717.0,470.0,159.0,67.0,1
15,5.0,106.0,86.0,94.0,1
16,195.0,770.0,200.0,110.0,1
17,715.0,882.0,86.0,84.0,1
18,151.0,435.0,116.0,67.0,1
19,484.0,84.0,95.0,91.0,1
20,585.0,0.0,92.0,37.0,1
21,534.0,346.0,89.0,106.0,1
22,0.0,777.0,35.0,97.0,1
23,387.0,461.0,73.0,75.0,1
24,614.0,145.0,108.0,142.0,1
25,381.0,772.0,83.0,88.0,1
26,630.0,586.0,80.0,77.0,1
27,253.0,0.0,103.0,112.0,1
