#item,x,y,width,height,label
0,402.0,215.0,84.0,62.0,1
1,274.0,309.0,48.0,74.0,1
2,448.0,310.0,59.0,93.0,1
3,62.0,687.0,49.0,44.0,1
4,236.0,567.0,74.0,95.0,1
5,27.0,478.0,81.0,119.0,1
6,952.0,296.0,61.0,69.0,1
7,964.0,363.0,60.0,73.0,1
8,52.0,733.0,66.0,88.0,1
9,899.0,0.0,75.0,69.0,1
10,316.0,746.0,98.0,80.0,1
11,944.0,616.0,76.0,102.0,1
12,44.0,138.0,65.0,74.0,1
13,0.0,847.0,53.0,47.0,1
14,279.0,493.0,86.0,66.0,1
15,793.0,916.0,84.0,59.0,1
16,403.0,411.0,135.0,64.0,1
17,586.0,74.0,97.0,101.0,1
18,235.0,44.0,82.0,102.0,1
19,68.0,942.0,55.0,62.0,1
20,960.0,878.0,64.0,80.0,1
21,0.0,109.0,36.0,71.0,1
22,354.0,359.0,69.0,85.0,1
23,595.0,141.0,99.0,75.0,1
24,312.0,257.0,66.0,64.0,1
25,310.0,11.0,94.0,119.0,1
26,0.0,770.0,55.0,69.0,1
27,70.0,591.0,75.0,90.0,1
28,933.0,74.0,64.0,111.0,1
29,795.0,722.0,79.0,115.0,1
30,485.0,713.0,120.0,120.0,1
31,635.0,372.0,83.0,86.0,1
32,783.0,283.0,64.0,68.0,1
