#item,x,y,width,height,label
0,714.0,95.0,91.0,86.0,1
1,252.0,231.0,76.0,71.0,1
2,0.0,419.0,101.0,95.0,1
3,377.0,162.0,63.0,78.0,1
4,372.0,789.0,112.0,76.0,1
5,642.0,107.0,44.0,56.0,1
6,364.0,104.0,127.0,86.0,1
7,453.0,546.0,61.0,46.0,1
8,615.0,149.0,90.0,65.0,1
9,283.0,951.0,104.0,64.0,1
10,901.0,627.0,48.0,82.0,1
11,401.0,303.0,131.0,58.0,1
12,227.0,679.0,143.0,68.0,1
13,376.0,396.0,84.0,104.0,1
14,580.0,820.0,51.0,57.0,1
15,93.0,356.0,72.0,49.0,1
16,97.0,223.0,120.0,69.0,1
17,12.0,872.0,80.0,57.0,1
18,674.0,348.0,72.0,75.0,1
19,440.0,271.0,97.0,109.0,1
20,171.0,914.0,124.0,56.0,1
21,852.0,870.0,107.0,87.0,1
22,306.0,437.0,69.0,77.0,1
23,514.0,60.0,88.0,74.0,1
24,392.0,611.0,97.0,93.0,1
25,863.0,564.0,51.0,82.0,1
26,230.0,715.0,149.0,59.0,1
27,927.0,0.0,97.0,74.0,1
28,824.0,273.0,102.0,62.0,1
29,582.0,500.0,125.0,91.0,1
30,1.0,616.0,99.0,71.0,1
31,267.0,381.0,83.0,59.0,1
