#item,x,y,width,height,label
0,823.0,817.0,59.0,178.0,1
1,22.0,814.0,60.0,55.0,1
2,0.0,952.0,55.0,71.0,1
3,623.0,523.0,71.0,83.0,1
4,12.0,408.0,76.0,74.0,1
5,968.0,641.0,47.0,105.0,1
6,389.0,628.0,114.0,96.0,1
7,421.0,0.0,94.0,62.0,1
8,319.0,8.0,76.0,52.0,1
9,618.0,833.0,68.0,186.0,1
10,923.0,296.0,101.0,81.0,1
11,473.0,665.0,139.0,109.0,1
12,897.0,23.0,96.0,114.0,1
13,53.0,651.0,101.0,140.0,1
14,273.0,736.0,73.0,81.0,1
15,755.0,724.0,68.0,155.0,1
16,348.0,116.0,110.0,182.0,1
17,232.0,81.0,108.0,112.0,1
18,686.0,0.0,168.0,67.0,1
19,126.0,114.0,50.0,76.0,1
20,785.0,645.0,129.0,140.0,1
21,815.0,266.0,65.0,95.0,1
22,739.0,583.0,127.0,53.0,1
23,63.0,21.0,81.0,64.0,1
24,0.0,875.0,88.0,62.0,1
25,791.0,563.0,74.0,41.0,1
26,766.0,337.0,128.0,106.0,1
27,0.0,661.0,36.0,98.0,1
28,265.0,802.0,145.0,94.0,1
29,739.0,675.0,104.0,42.0,1
30,616.0,718.0,134.0,152.0,1
31,119.0,328.0,71.0,201.0,1
32,299.0,978.0,118.0,44.0,1
33,630.0,77.0,71.0,63.0,1
34,795.0,917.0,115.0,57.0,1
35,45.0,923.0,58.0,75.0,1
36,701.0,436.0,98.0,38.0,1
37,679.0,909.0,89.0,87.0,1
38,650.0,32.0,146.0,58.0,1
39,519.0,430.0,75.0,37.0,1
40,311.0,283.0,58.0,153.0,1
