#item,x,y,width,height,label
0,493.0,491.0,98.0,41.0,1
1,629.0,817.0,32.0,29.0,1
2,235.0,980.0,97.0,43.0,1
3,879.0,556.0,57.0,45.0,1
4,538.0,9.0,87.0,31.0,1
5,320.0,486.0,74.0,41.0,1
6,980.0,69.0,34.0,33.0,1
7,616.0,513.0,84.0,32.0,1
8,964.0,597.0,56.0,43.0,1
9,892.0,940.0,82.0,38.0,1
10,644.0,163.0,55.0,36.0,1
11,127.0,62.0,74.0,35.0,1
12,0.0,46.0,53.0,33.0,1
13,705.0,519.0,115.0,57.0,1
14,744.0,83.0,71.0,39.0,1
15,753.0,921.0,80.0,57.0,1
16,9.0,781.0,81.0,31.0,1
17,186.0,16.0,85.0,46.0,1
18,18.0,998.0,66.0,25.0,1
19,493.0,977.0,113.0,47.0,1
20,0.0,0.0,44.0,16.0,1
21,47.0,446.0,96.0,32.0,1
22,408.0,984.0,58.0,33.0,1
23,483.0,956.0,74.0,30.0,1
24,394.0,511.0,79.0,43.0,1
25,168.0,767.0,73.0,40.0,1
26,102.0,345.0,54.0,61.0,1
27,645.0,963.0,95.0,61.0,1
28,557.0,449.0,85.0,68.0,1
29,382.0,95.0,127.0,45.0,1
30,794.0,931.0,64.0,47.0,1
31,153.0,534.0,137.0,49.0,1
32,0.0,577.0,79.0,51.0,1
33,838.0,192.0,81.0,35.0,1
34,910.0,583.0,66.0,36.0,1
35,165.0,124.0,83.0,32.0,1
36,325.0,408.0,82.0,44.0,1
37,181.0,610.0,148.0,82.0,1
38,293.0,243.0,83.0,35.0,1
39,3.0,899.0,99.0,23.0,1
40,453.0,386.0,111.0,39.0,1
41,58.0,825.0,65.0,39.0,1
42,978.0,127.0,46.0,40.0,1
43,261.0,429.0,85.0,34.0,1
44,1.0,885.0,56.0,20.0,1
45,433.0,902.0,55.0,26.0,1
46,691.0,2.0,79.0,52.0,1
47,583.0,836.0,46.0,31.0,1
48,322.0,21.0,44.0,24.0,1
49,448.0,39.0,63.0,28.0,1
50,6.0,915.0,107.0,36.0,1
51,0.0,298.0,69.0,56.0,1
