#item,x,y,width,height,label
0,796.0,174.0,74.0,58.0,1
1,760.0,302.0,92.0,94.0,1
2,665.0,606.0,100.0,85.0,1
3,937.0,721.0,82.0,68.0,1
4,978.0,237.0,45.0,53.0,1
5,844.0,578.0,95.0,87.0,1
6,960.0,168.0,64.0,72.0,1
7,906.0,524.0,82.0,90.0,1
8,805.0,11.0,145.0,79.0,1
9,864.0,252.0,69.0,67.0,1
10,750.0,647.0,79.0,77.0,1
11,708.0,453.0,56.0,62.0,1
12,925.0,817.0,77.0,61.0,1
13,911.0,634.0,69.0,67.0,1
14,745.0,562.0,59.0,60.0,1
15,989.0,451.0,35.0,59.0,1
16,580.0,400.0,65.0,65.0,1
17,968.0,368.0,55.0,73.0,1
18,819.0,752.0,84.0,73.0,1
19,983.0,522.0,41.0,74.0,1
20,458.0,140.0,100.0,77.0,1
