#item,x,y,width,height,label
0,10.0,94.0,80.0,126.0,1
1,858.0,183.0,137.0,75.0,1
2,483.0,0.0,76.0,109.0,1
3,642.0,723.0,112.0,58.0,1
4,304.0,67.0,103.0,47.0,1
5,584.0,627.0,57.0,60.0,1
6,756.0,565.0,74.0,49.0,1
7,372.0,320.0,101.0,64.0,1
8,677.0,653.0,71.0,53.0,1
9,214.0,978.0,97.0,46.0,1
10,0.0,531.0,30.0,137.0,1
11,611.0,684.0,58.0,39.0,1
12,726.0,52.0,159.0,62.0,1
13,260.0,730.0,199.0,70.0,1
14,0.0,464.0,73.0,82.0,1
15,82.0,877.0,102.0,147.0,1
16,118.0,169.0,175.0,127.0,1
17,576.0,545.0,104.0,87.0,1
18,257.0,924.0,100.0,92.0,1
19,464.0,195.0,184.0,111.0,1
20,845.0,289.0,176.0,146.0,1
21,168.0,864.0,75.0,120.0,1
22,857.0,759.0,167.0,82.0,1
23,94.0,4.0,88.0,58.0,1
24,747.0,209.0,140.0,70.0,1
25,562.0,186.0,196.0,67.0,1
26,490.0,425.0,109.0,109.0,1
27,0.0,11.0,32.0,62.0,1
28,822.0,606.0,106.0,78.0,1
29,248.0,545.0,176.0,184.0,1
30,158.0,972.0,63.0,52.0,1
31,579.0,29.0,63.0,83.0,1
32,854.0,379.0,77.0,101.0,1
33,680.0,816.0,144.0,81.0,1
34,265.0,802.0,184.0,83.0,1
35,71.0,446.0,79.0,185.0,1
36,240.0,112.0,188.0,51.0,1
37,714.0,0.0,64.0,44.0,1
