#item,x,y,width,height,label
0,214.0,433.0,102.0,96.0,1
1,230.0,814.0,77.0,133.0,1
2,142.0,747.0,80.0,67.0,1
3,96.0,1.0,87.0,80.0,1
4,930.0,451.0,94.0,66.0,1
5,418.0,207.0,127.0,95.0,1
6,755.0,20.0,99.0,82.0,1
7,123.0,539.0,59.0,94.0,1
8,882.0,0.0,93.0,82.0,1
9,683.0,0.0,62.0,45.0,1
10,855.0,638.0,161.0,92.0,1
11,960.0,82.0,64.0,70.0,1
12,735.0,437.0,113.0,72.0,1
13,766.0,771.0,84.0,125.0,1
14,94.0,489.0,51.0,123.0,1
15,361.0,144.0,93.0,108.0,1
16,518.0,0.0,165.0,86.0,1
17,0.0,177.0,51.0,85.0,1
18,843.0,950.0,72.0,74.0,1
19,915.0,498.0,86.0,60.0,1
20,110.0,219.0,141.0,80.0,1
21,526.0,902.0,150.0,122.0,1
22,105.0,307.0,64.0,77.0,1
23,3.0,84.0,117.0,99.0,1
