#item,x,y,width,height,label
0,591.0,253.0,142.0,68.0,1
1,687.0,526.0,143.0,101.0,1
2,845.0,421.0,67.0,69.0,1
3,129.0,463.0,71.0,64.0,1
4,493.0,0.0,81.0,112.0,1
5,258.0,344.0,119.0,85.0,1
6,0.0,606.0,101.0,65.0,1
7,946.0,819.0,78.0,144.0,1
8,2.0,26.0,152.0,56.0,1
9,317.0,296.0,135.0,92.0,1
10,930.0,571.0,79.0,112.0,1
11,561.0,0.0,81.0,51.0,1
12,964.0,559.0,60.0,56.0,1
13,141.0,333.0,75.0,126.0,1
14,688.0,119.0,75.0,61.0,1
15,64.0,585.0,118.0,47.0,1
16,249.0,893.0,73.0,62.0,1
17,707.0,609.0,156.0,119.0,1
18,0.0,930.0,119.0,70.0,1
19,834.0,175.0,153.0,91.0,1
20,191.0,262.0,88.0,110.0,1
21,96.0,109.0,98.0,174.0,1
22,354.0,627.0,65.0,173.0,1
23,202.0,59.0,71.0,49.0,1
24,407.0,509.0,107.0,65.0,1
25,336.0,718.0,119.0,174.0,1
26,964.0,396.0,60.0,81.0,1
27,302.0,122.0,90.0,168.0,1
28,426.0,23.0,118.0,52.0,1
29,139.0,907.0,76.0,117.0,1
30,433.0,974.0,89.0,50.0,1
31,945.0,174.0,79.0,191.0,1
32,14.0,739.0,72.0,76.0,1
33,774.0,45.0,70.0,119.0,1
34,826.0,505.0,101.0,122.0,1
35,406.0,384.0,84.0,113.0,1
36,615.0,355.0,64.0,93.0,1
37,92.0,639.0,139.0,55.0,1
38,518.0,982.0,99.0,42.0,1
39,182.0,557.0,139.0,55.0,1
40,621.0,58.0,89.0,128.0,1
41,755.0,946.0,119.0,78.0,1
