#item,x,y,width,height,label
0,460.0,133.0,95.0,61.0,1
1,14.0,489.0,115.0,64.0,1
2,832.0,860.0,68.0,63.0,1
3,355.0,802.0,58.0,82.0,1
4,256.0,552.0,87.0,49.0,1
5,626.0,0.0,72.0,63.0,1
6,580.0,785.0,101.0,75.0,1
7,716.0,958.0,87.0,66.0,1
8,220.0,0.0,145.0,70.0,1
9,485.0,0.0,75.0,97.0,1
10,238.0,48.0,73.0,53.0,1
11,833.0,630.0,81.0,107.0,1
12,348.0,339.0,101.0,60.0,1
13,811.0,107.0,68.0,64.0,1
14,702.0,647.0,64.0,58.0,1
15,709.0,458.0,57.0,79.0,1
16,21.0,281.0,83.0,48.0,1
17,893.0,523.0,51.0,48.0,1
18,647.0,849.0,63.0,54.0,1
19,601.0,549.0,71.0,57.0,1
20,768.0,575.0,96.0,52.0,1
21,901.0,773.0,107.0,77.0,1
22,414.0,183.0,96.0,68.0,1
23,448.0,273.0,57.0,75.0,1
24,60.0,646.0,82.0,55.0,1
25,189.0,313.0,98.0,57.0,1
26,533.0,733.0,61.0,50.0,1
27,0.0,186.0,63.0,59.0,1
28,647.0,145.0,66.0,87.0,1
29,0.0,867.0,52.0,105.0,1
30,252.0,220.0,83.0,48.0,1
31,623.0,614.0,77.0,66.0,1
32,664.0,567.0,63.0,57.0,1
33,0.0,614.0,53.0,62.0,1
34,154.0,919.0,52.0,56.0,1
35,156.0,533.0,115.0,53.0,1
36,260.0,711.0,97.0,45.0,1
37,621.0,724.0,78.0,82.0,1
38,550.0,578.0,74.0,83.0,1
39,307.0,100.0,91.0,51.0,1
40,533.0,0.0,79.0,63.0,1
41,900.0,594.0,64.0,56.0,1
42,761.0,253.0,62.0,73.0,1
43,773.0,174.0,97.0,107.0,1
44,497.0,327.0,68.0,35.0,1
45,351.0,24.0,80.0,51.0,1
46,393.0,317.0,122.0,52.0,1
47,119.0,88.0,60.0,56.0,1
48,601.0,200.0,65.0,111.0,1
49,613.0,191.0,85.0,133.0,1
