#item,x,y,width,height,label
0,370.0,466.0,70.0,57.0,1
1,203.0,391.0,76.0,50.0,1
2,266.0,966.0,77.0,58.0,1
3,328.0,0.0,90.0,41.0,1
4,621.0,286.0,82.0,58.0,1
5,778.0,467.0,70.0,52.0,1
6,29.0,784.0,145.0,67.0,1
7,858.0,867.0,50.0,44.0,1
8,864.0,530.0,52.0,65.0,1
9,468.0,438.0,62.0,67.0,1
10,609.0,821.0,66.0,79.0,1
11,567.0,507.0,67.0,76.0,1
12,635.0,29.0,82.0,71.0,1
13,706.0,884.0,77.0,53.0,1
14,930.0,423.0,94.0,97.0,1
15,674.0,586.0,69.0,72.0,1
16,905.0,505.0,119.0,85.0,1
17,165.0,272.0,84.0,90.0,1
18,825.0,892.0,42.0,56.0,1
19,325.0,313.0,75.0,44.0,1
20,312.0,905.0,49.0,58.0,1
21,836.0,759.0,65.0,52.0,1
22,66.0,251.0,67.0,107.0,1
23,643.0,153.0,78.0,72.0,1
24,930.0,720.0,53.0,68.0,1
25,255.0,54.0,99.0,61.0,1
26,964.0,893.0,47.0,64.0,1
27,792.0,635.0,71.0,78.0,1
28,590.0,47.0,63.0,68.0,1
29,268.0,320.0,82.0,67.0,1
30,14.0,926.0,104.0,61.0,1
31,776.0,167.0,87.0,139.0,1
32,652.0,488.0,69.0,62.0,1
33,367.0,181.0,70.0,37.0,1
34,918.0,803.0,38.0,57.0,1
35,399.0,1.0,57.0,83.0,1
36,240.0,579.0,79.0,53.0,1
37,675.0,94.0,68.0,60.0,1
38,468.0,0.0,66.0,81.0,1
39,642.0,509.0,57.0,85.0,1
40,503.0,220.0,147.0,61.0,1
41,201.0,859.0,76.0,83.0,1
42,376.0,651.0,108.0,106.0,1
43,371.0,259.0,58.0,41.0,1
44,580.0,100.0,78.0,75.0,1
45,25.0,989.0,107.0,35.0,1
46,321.0,879.0,73.0,59.0,1
47,253.0,794.0,57.0,61.0,1
48,392.0,208.0,109.0,75.0,1
49,907.0,261.0,76.0,87.0,1
50,441.0,62.0,73.0,83.0,1
51,905.0,561.0,84.0,95.0,1
52,984.0,636.0,39.0,63.0,1
53,310.0,47.0,77.0,46.0,1
54,219.0,426.0,110.0,59.0,1
55,686.0,295.0,84.0,74.0,1
56,58.0,351.0,99.0,44.0,1
57,115.0,971.0,47.0,47.0,1
58,701.0,963.0,58.0,61.0,1
59,354.0,837.0,84.0,41.0,1
60,894.0,34.0,106.0,59.0,1
61,714.0,384.0,52.0,67.0,1
62,158.0,338.0,115.0,71.0,1
63,925.0,920.0,99.0,75.0,1
64,699.0,202.0,64.0,56.0,1
65,423.0,808.0,115.0,43.0,1
66,251.0,636.0,70.0,67.0,1
67,485.0,0.0,79.0,51.0,1
68,796.0,692.0,130.0,54.0,1
69,921.0,985.0,59.0,38.0,1
70,711.0,457.0,59.0,44.0,1
71,326.0,806.0,91.0,41.0,1
72,101.0,362.0,131.0,104.0,1
73,103.0,895.0,86.0,65.0,1
74,755.0,920.0,59.0,39.0,1
75,141.0,746.0,128.0,56.0,1
76,367.0,759.0,136.0,47.0,1
77,181.0,695.0,82.0,68.0,1
