#item,x,y,width,height,label
0,932.0,283.0,55.0,56.0,1
1,481.0,375.0,77.0,61.0,1
2,950.0,224.0,74.0,60.0,1
3,696.0,819.0,44.0,102.0,1
4,61.0,198.0,99.0,66.0,1
5,304.0,194.0,75.0,65.0,1
6,796.0,828.0,103.0,54.0,1
7,214.0,364.0,47.0,45.0,1
8,340.0,560.0,79.0,60.0,1
9,258.0,938.0,81.0,79.0,1
10,18.0,917.0,61.0,47.0,1
11,655.0,0.0,64.0,50.0,1
12,144.0,954.0,144.0,70.0,1
13,152.0,752.0,146.0,45.0,1
14,504.0,569.0,73.0,84.0,1
15,756.0,913.0,105.0,86.0,1
16,760.0,472.0,67.0,95.0,1
17,690.0,950.0,68.0,47.0,1
18,698.0,41.0,85.0,44.0,1
19,517.0,508.0,96.0,58.0,1
20,734.0,841.0,61.0,86.0,1
21,64.0,280.0,117.0,94.0,1
22,13.0,233.0,62.0,101.0,1
23,239.0,683.0,75.0,69.0,1
24,940.0,697.0,80.0,81.0,1
25,721.0,183.0,115.0,50.0,1
26,399.0,884.0,129.0,54.0,1
27,341.0,508.0,74.0,68.0,1
28,567.0,850.0,101.0,55.0,1
29,181.0,557.0,111.0,107.0,1
30,898.0,1.0,65.0,84.0,1
31,232.0,225.0,77.0,45.0,1
32,0.0,132.0,76.0,73.0,1
33,521.0,764.0,122.0,53.0,1
34,805.0,64.0,59.0,58.0,1
35,13.0,662.0,85.0,86.0,1
36,492.0,326.0,68.0,59.0,1
37,965.0,495.0,58.0,118.0,1
38,580.0,170.0,107.0,58.0,1
39,655.0,981.0,47.0,43.0,1
40,825.0,273.0,73.0,47.0,1
41,266.0,11.0,78.0,104.0,1
42,391.0,934.0,100.0,54.0,1
43,988.0,411.0,36.0,56.0,1
44,963.0,865.0,61.0,72.0,1
45,921.0,146.0,80.0,71.0,1
46,551.0,948.0,90.0,71.0,1
47,264.0,174.0,103.0,51.0,1
48,39.0,350.0,56.0,72.0,1
49,408.0,451.0,117.0,62.0,1
50,812.0,359.0,100.0,70.0,1
51,452.0,104.0,134.0,78.0,1
52,125.0,810.0,76.0,68.0,1
53,208.0,271.0,148.0,42.0,1
54,724.0,412.0,72.0,75.0,1
55,48.0,482.0,48.0,126.0,1
56,279.0,318.0,144.0,68.0,1
57,771.0,91.0,89.0,105.0,1
58,444.0,742.0,71.0,56.0,1
59,579.0,624.0,74.0,61.0,1
60,175.0,304.0,100.0,81.0,1
61,895.0,993.0,51.0,30.0,1
62,273.0,807.0,67.0,63.0,1
63,147.0,379.0,111.0,95.0,1
64,322.0,193.0,108.0,96.0,1
65,751.0,347.0,68.0,56.0,1
66,209.0,125.0,65.0,65.0,1
67,674.0,326.0,98.0,157.0,1
68,379.0,247.0,86.0,63.0,1
69,482.0,1.0,118.0,74.0,1
70,801.0,0.0,95.0,85.0,1
71,556.0,806.0,116.0,43.0,1
72,0.0,702.0,109.0,139.0,1
