#item,x,y,width,height,label
0,686.0,413.0,68.0,88.0,1
1,817.0,245.0,122.0,80.0,1
2,326.0,461.0,104.0,66.0,1
3,567.0,201.0,114.0,70.0,1
4,527.0,327.0,144.0,82.0,1
5,745.0,801.0,77.0,79.0,1
6,111.0,35.0,142.0,75.0,1
7,7.0,732.0,138.0,181.0,1
8,764.0,858.0,73.0,61.0,1
9,887.0,415.0,137.0,146.0,1
10,232.0,788.0,120.0,121.0,1
11,145.0,427.0,120.0,164.0,1
12,608.0,987.0,77.0,37.0,1
13,711.0,54.0,179.0,96.0,1
14,734.0,446.0,211.0,154.0,1
15,557.0,621.0,102.0,137.0,1
16,499.0,736.0,111.0,101.0,1
17,641.0,599.0,80.0,61.0,1
18,536.0,61.0,134.0,84.0,1
19,278.0,897.0,92.0,89.0,1
20,757.0,202.0,141.0,70.0,1
21,434.0,817.0,73.0,62.0,1
22,310.0,0.0,155.0,43.0,1
23,166.0,796.0,75.0,80.0,1
24,968.0,82.0,56.0,64.0,1
25,391.0,537.0,105.0,80.0,1
26,820.0,934.0,79.0,63.0,1
27,72.0,102.0,99.0,106.0,1
28,211.0,154.0,124.0,149.0,1
29,980.0,361.0,44.0,74.0,1
30,792.0,625.0,101.0,86.0,1
