#item,x,y,width,height,label
0,410.0,599.0,51.0,39.0,1
1,124.0,349.0,94.0,31.0,1
2,85.0,521.0,42.0,29.0,1
3,624.0,688.0,64.0,41.0,1
4,480.0,333.0,75.0,45.0,1
5,787.0,778.0,59.0,44.0,1
6,382.0,309.0,52.0,37.0,1
7,127.0,266.0,68.0,63.0,1
8,13.0,584.0,80.0,39.0,1
9,443.0,810.0,84.0,88.0,1
10,320.0,690.0,51.0,44.0,1
11,538.0,482.0,45.0,41.0,1
12,437.0,369.0,58.0,59.0,1
13,350.0,154.0,66.0,55.0,1
14,682.0,38.0,52.0,86.0,1
15,595.0,544.0,53.0,36.0,1
16,627.0,482.0,71.0,59.0,1
17,202.0,581.0,37.0,34.0,1
18,332.0,868.0,81.0,59.0,1
19,0.0,375.0,101.0,49.0,1
20,432.0,222.0,68.0,41.0,1
21,213.0,191.0,103.0,50.0,1
22,959.0,889.0,56.0,90.0,1
23,294.0,460.0,79.0,169.0,1
24,199.0,696.0,54.0,32.0,1
25,0.0,248.0,29.0,21.0,1
26,243.0,728.0,87.0,39.0,1
27,591.0,752.0,78.0,91.0,1
28,242.0,632.0,49.0,31.0,1
29,0.0,725.0,81.0,45.0,1
30,577.0,321.0,44.0,52.0,1
31,180.0,312.0,73.0,35.0,1
32,299.0,343.0,52.0,35.0,1
33,459.0,49.0,67.0,97.0,1
34,238.0,794.0,95.0,68.0,1
35,725.0,566.0,50.0,45.0,1
36,527.0,852.0,85.0,123.0,1
37,481.0,689.0,80.0,47.0,1
38,924.0,0.0,45.0,63.0,1
39,317.0,224.0,54.0,38.0,1
40,866.0,0.0,49.0,49.0,1
41,987.0,398.0,33.0,46.0,1
42,947.0,857.0,33.0,31.0,1
43,136.0,665.0,72.0,31.0,1
44,47.0,780.0,65.0,56.0,1
45,720.0,889.0,56.0,49.0,1
46,566.0,154.0,77.0,111.0,1
47,517.0,774.0,65.0,37.0,1
48,739.0,650.0,74.0,63.0,1
49,689.0,716.0,83.0,61.0,1
