#item,x,y,width,height,label
0,827.0,389.0,31.0,48.0,1
1,788.0,783.0,83.0,44.0,1
2,578.0,559.0,75.0,60.0,1
3,977.0,583.0,47.0,75.0,1
4,640.0,918.0,39.0,97.0,1
5,269.0,0.0,58.0,33.0,1
6,480.0,922.0,70.0,54.0,1
7,468.0,424.0,76.0,52.0,1
8,47.0,385.0,93.0,59.0,1
9,656.0,98.0,36.0,75.0,1
10,0.0,952.0,74.0,45.0,1
11,194.0,897.0,84.0,76.0,1
12,367.0,360.0,52.0,59.0,1
13,750.0,956.0,59.0,55.0,1
14,572.0,421.0,64.0,46.0,1
15,660.0,552.0,33.0,55.0,1
16,56.0,921.0,58.0,79.0,1
17,778.0,38.0,61.0,34.0,1
18,67.0,442.0,55.0,36.0,1
19,195.0,1004.0,43.0,19.0,1
20,374.0,574.0,51.0,69.0,1
21,54.0,340.0,61.0,48.0,1
22,428.0,514.0,58.0,67.0,1
23,502.0,632.0,84.0,73.0,1
24,316.0,15.0,60.0,50.0,1
25,439.0,0.0,70.0,33.0,1
26,903.0,940.0,46.0,60.0,1
27,88.0,937.0,119.0,43.0,1
28,852.0,451.0,44.0,47.0,1
29,96.0,984.0,99.0,40.0,1
30,130.0,544.0,77.0,67.0,1
31,689.0,995.0,60.0,28.0,1
32,180.0,56.0,45.0,36.0,1
33,741.0,0.0,46.0,38.0,1
34,627.0,130.0,41.0,37.0,1
35,786.0,641.0,63.0,68.0,1
36,438.0,769.0,87.0,42.0,1
37,357.0,302.0,61.0,41.0,1
38,941.0,391.0,38.0,40.0,1
39,778.0,126.0,61.0,103.0,1
40,232.0,576.0,35.0,46.0,1
