#item,x,y,width,height,label
0,45.0,614.0,97.0,62.0,1
1,729.0,654.0,94.0,41.0,1
2,196.0,791.0,54.0,58.0,1
3,21.0,127.0,72.0,35.0,1
4,349.0,630.0,46.0,50.0,1
5,871.0,2.0,148.0,74.0,1
6,407.0,156.0,94.0,102.0,1
7,478.0,636.0,66.0,42.0,1
8,679.0,85.0,117.0,113.0,1
9,455.0,760.0,65.0,72.0,1
10,519.0,991.0,53.0,32.0,1
11,825.0,556.0,103.0,61.0,1
12,669.0,318.0,119.0,68.0,1
13,911.0,337.0,99.0,95.0,1
14,14.0,404.0,58.0,90.0,1
15,801.0,156.0,146.0,58.0,1
16,225.0,154.0,59.0,64.0,1
17,445.0,335.0,82.0,85.0,1
18,504.0,4.0,70.0,48.0,1
19,734.0,745.0,99.0,52.0,1
20,389.0,550.0,94.0,84.0,1
21,895.0,814.0,88.0,57.0,1
22,898.0,711.0,126.0,121.0,1
23,443.0,0.0,52.0,101.0,1
24,386.0,881.0,53.0,40.0,1
