#item,x,y,width,height,label
0,946.0,54.0,78.0,165.0,1
1,424.0,812.0,104.0,68.0,1
2,0.0,81.0,35.0,110.0,1
3,56.0,827.0,177.0,103.0,1
4,32.0,0.0,109.0,70.0,1
5,981.0,445.0,43.0,43.0,1
6,153.0,252.0,137.0,93.0,1
7,122.0,357.0,164.0,90.0,1
8,677.0,884.0,199.0,131.0,1
9,809.0,534.0,78.0,77.0,1
10,425.0,551.0,87.0,102.0,1
11,632.0,18.0,206.0,106.0,1
12,304.0,328.0,230.0,189.0,1
13,955.0,454.0,40.0,68.0,1
14,489.0,675.0,83.0,101.0,1
15,688.0,716.0,113.0,121.0,1
16,116.0,953.0,227.0,71.0,1
17,0.0,262.0,95.0,65.0,1
18,545.0,480.0,98.0,172.0,1
19,9.0,734.0,48.0,124.0,1
20,916.0,560.0,79.0,154.0,1
21,269.0,841.0,99.0,81.0,1
22,547.0,597.0,75.0,111.0,1
23,779.0,751.0,76.0,57.0,1
24,716.0,496.0,123.0,190.0,1
25,573.0,322.0,96.0,207.0,1
26,538.0,130.0,153.0,116.0,1
27,383.0,8.0,117.0,230.0,1
28,860.0,221.0,51.0,49.0,1
