#item,x,y,width,height,label
0,758.0,821.0,111.0,49.0,1
1,934.0,305.0,68.0,49.0,1
2,515.0,439.0,79.0,52.0,1
3,90.0,664.0,50.0,67.0,1
4,857.0,556.0,69.0,71.0,1
5,147.0,886.0,82.0,88.0,1
6,465.0,159.0,65.0,54.0,1
7,575.0,809.0,86.0,36.0,1
8,890.0,731.0,88.0,57.0,1
9,64.0,713.0,49.0,48.0,1
10,492.0,1.0,77.0,100.0,1
11,777.0,324.0,82.0,57.0,1
12,886.0,195.0,79.0,43.0,1
13,392.0,350.0,82.0,56.0,1
14,968.0,693.0,56.0,94.0,1
15,98.0,324.0,58.0,58.0,1
16,307.0,967.0,45.0,50.0,1
17,964.0,131.0,60.0,53.0,1
18,422.0,879.0,77.0,61.0,1
19,103.0,122.0,54.0,61.0,1
20,328.0,647.0,74.0,70.0,1
21,516.0,789.0,92.0,71.0,1
22,150.0,314.0,65.0,71.0,1
23,460.0,859.0,67.0,48.0,1
24,264.0,475.0,56.0,55.0,1
25,265.0,402.0,71.0,83.0,1
26,549.0,274.0,74.0,56.0,1
27,223.0,579.0,48.0,45.0,1
28,839.0,985.0,68.0,39.0,1
29,565.0,322.0,71.0,54.0,1
30,30.0,671.0,62.0,65.0,1
31,729.0,385.0,93.0,63.0,1
32,860.0,38.0,50.0,80.0,1
33,913.0,951.0,62.0,73.0,1
34,712.0,834.0,143.0,93.0,1
35,22.0,349.0,49.0,72.0,1
36,843.0,289.0,63.0,45.0,1
37,856.0,168.0,96.0,46.0,1
38,581.0,447.0,66.0,72.0,1
39,901.0,378.0,92.0,82.0,1
40,284.0,828.0,68.0,51.0,1
41,391.0,0.0,53.0,31.0,1
42,380.0,288.0,60.0,51.0,1
43,308.0,773.0,51.0,50.0,1
44,273.0,246.0,63.0,49.0,1
45,0.0,1008.0,23.0,16.0,1
46,1.0,85.0,35.0,49.0,1
47,616.0,549.0,102.0,59.0,1
48,922.0,412.0,75.0,93.0,1
49,333.0,934.0,69.0,59.0,1
50,246.0,714.0,57.0,52.0,1
51,286.0,590.0,79.0,49.0,1
52,578.0,869.0,54.0,47.0,1
53,212.0,398.0,33.0,41.0,1
54,320.0,222.0,57.0,45.0,1
55,325.0,699.0,105.0,70.0,1
56,31.0,306.0,55.0,47.0,1
57,722.0,511.0,110.0,78.0,1
58,320.0,389.0,40.0,43.0,1
59,914.0,82.0,60.0,72.0,1
60,116.0,402.0,62.0,62.0,1
61,195.0,652.0,68.0,49.0,1
62,937.0,537.0,84.0,84.0,1
63,761.0,626.0,87.0,65.0,1
64,597.0,108.0,61.0,70.0,1
65,597.0,52.0,49.0,89.0,1
66,196.0,138.0,54.0,73.0,1
67,478.0,649.0,80.0,114.0,1
68,126.0,472.0,90.0,56.0,1
69,244.0,191.0,58.0,58.0,1
70,505.0,203.0,68.0,60.0,1
71,237.0,138.0,83.0,64.0,1
72,654.0,738.0,62.0,57.0,1
73,102.0,609.0,76.0,67.0,1
74,292.0,875.0,60.0,54.0,1
75,912.0,514.0,56.0,56.0,1
76,378.0,514.0,71.0,60.0,1
77,83.0,959.0,67.0,56.0,1
78,36.0,817.0,50.0,65.0,1
79,930.0,779.0,76.0,42.0,1
80,443.0,949.0,81.0,63.0,1
81,504.0,357.0,59.0,58.0,1
82,621.0,922.0,69.0,56.0,1
83,829.0,351.0,89.0,98.0,1
84,493.0,292.0,54.0,54.0,1
85,732.0,919.0,54.0,56.0,1
86,430.0,506.0,54.0,74.0,1
87,645.0,254.0,83.0,55.0,1
88,773.0,505.0,74.0,43.0,1
