#item,x,y,width,height,label
0,380.0,108.0,102.0,67.0,1
1,314.0,762.0,88.0,105.0,1
2,83.0,302.0,88.0,119.0,1
3,467.0,718.0,71.0,67.0,1
4,0.0,0.0,95.0,67.0,1
5,272.0,113.0,39.0,60.0,1
6,545.0,878.0,86.0,82.0,1
7,665.0,508.0,56.0,71.0,1
8,111.0,17.0,97.0,102.0,1
9,627.0,0.0,94.0,53.0,1
10,340.0,305.0,92.0,92.0,1
11,435.0,294.0,67.0,48.0,1
12,272.0,307.0,74.0,44.0,1
13,458.0,144.0,81.0,95.0,1
14,836.0,369.0,89.0,50.0,1
15,34.0,869.0,82.0,71.0,1
16,776.0,832.0,68.0,57.0,1
17,545.0,452.0,104.0,67.0,1
18,372.0,642.0,99.0,130.0,1
19,884.0,4.0,122.0,86.0,1
20,425.0,494.0,86.0,86.0,1
21,944.0,608.0,80.0,73.0,1
22,260.0,66.0,83.0,67.0,1
23,571.0,78.0,60.0,68.0,1
24,7.0,302.0,51.0,61.0,1
25,582.0,123.0,76.0,93.0,1
26,281.0,108.0,69.0,63.0,1
27,302.0,10.0,58.0,37.0,1
28,938.0,283.0,75.0,68.0,1
29,0.0,955.0,73.0,69.0,1
30,357.0,37.0,72.0,70.0,1
31,851.0,546.0,124.0,80.0,1
32,836.0,230.0,127.0,105.0,1
33,600.0,488.0,73.0,87.0,1
34,823.0,965.0,117.0,59.0,1
35,149.0,907.0,93.0,117.0,1
36,597.0,732.0,60.0,41.0,1
37,482.0,544.0,74.0,77.0,1
38,532.0,598.0,72.0,76.0,1
39,577.0,178.0,56.0,44.0,1
