#item,x,y,width,height,label
0,563.0,465.0,100.0,105.0,1
1,926.0,294.0,64.0,87.0,1
2,960.0,18.0,64.0,116.0,1
3,655.0,501.0,115.0,98.0,1
4,507.0,986.0,56.0,38.0,1
5,627.0,719.0,123.0,92.0,1
6,532.0,337.0,92.0,67.0,1
7,424.0,93.0,88.0,49.0,1
8,650.0,168.0,84.0,47.0,1
9,517.0,545.0,87.0,69.0,1
10,865.0,204.0,71.0,126.0,1
11,458.0,51.0,138.0,74.0,1
12,381.0,227.0,113.0,77.0,1
13,591.0,194.0,128.0,69.0,1
14,616.0,0.0,105.0,97.0,1
15,599.0,104.0,117.0,70.0,1
16,729.0,69.0,90.0,71.0,1
