#item,x,y,width,height,label
0,757.0,788.0,172.0,128.0,1
1,803.0,217.0,59.0,56.0,1
2,839.0,906.0,128.0,97.0,1
3,599.0,949.0,105.0,75.0,1
4,760.0,238.0,97.0,79.0,1
5,829.0,686.0,84.0,120.0,1
6,906.0,275.0,73.0,45.0,1
7,757.0,322.0,72.0,77.0,1
8,924.0,35.0,100.0,72.0,1
9,987.0,144.0,37.0,47.0,1
10,944.0,783.0,80.0,136.0,1
11,555.0,46.0,102.0,66.0,1
12,609.0,179.0,77.0,79.0,1
13,629.0,816.0,90.0,92.0,1
14,872.0,279.0,95.0,84.0,1
15,491.0,791.0,51.0,61.0,1
16,849.0,642.0,98.0,90.0,1
17,663.0,325.0,128.0,79.0,1
18,925.0,308.0,97.0,76.0,1
19,678.0,538.0,69.0,60.0,1
20,704.0,87.0,76.0,115.0,1
21,619.0,683.0,113.0,92.0,1
22,965.0,412.0,59.0,97.0,1
23,773.0,913.0,89.0,100.0,1
24,757.0,0.0,80.0,43.0,1
25,742.0,527.0,118.0,123.0,1
26,822.0,3.0,80.0,48.0,1
27,706.0,606.0,92.0,87.0,1
28,905.0,228.0,118.0,94.0,1
