#item,x,y,width,height,label
0,931.0,0.0,58.0,42.0,1
1,436.0,588.0,87.0,56.0,1
2,722.0,0.0,94.0,31.0,1
3,830.0,644.0,50.0,91.0,1
4,904.0,644.0,88.0,104.0,1
5,516.0,0.0,65.0,108.0,1
6,274.0,884.0,93.0,71.0,1
7,517.0,923.0,102.0,101.0,1
8,483.0,519.0,63.0,72.0,1
9,93.0,546.0,93.0,108.0,1
10,129.0,772.0,98.0,128.0,1
11,180.0,661.0,70.0,75.0,1
12,554.0,531.0,84.0,81.0,1
13,0.0,480.0,59.0,66.0,1
14,143.0,945.0,77.0,66.0,1
15,332.0,38.0,97.0,123.0,1
16,861.0,597.0,63.0,57.0,1
17,8.0,571.0,81.0,154.0,1
18,507.0,636.0,78.0,109.0,1
19,627.0,409.0,105.0,68.0,1
20,234.0,507.0,67.0,121.0,1
21,1.0,894.0,26.0,80.0,1
22,439.0,728.0,53.0,95.0,1
23,927.0,797.0,67.0,63.0,1
24,547.0,412.0,97.0,122.0,1
25,624.0,490.0,99.0,102.0,1
26,325.0,493.0,80.0,77.0,1
27,638.0,0.0,142.0,71.0,1
28,300.0,0.0,85.0,35.0,1
29,401.0,47.0,53.0,57.0,1
30,731.0,56.0,76.0,93.0,1
31,766.0,751.0,158.0,68.0,1
32,579.0,0.0,64.0,73.0,1
33,361.0,688.0,85.0,81.0,1
34,418.0,628.0,78.0,59.0,1
35,507.0,371.0,85.0,53.0,1
36,295.0,598.0,67.0,67.0,1
37,530.0,751.0,94.0,149.0,1
38,822.0,318.0,108.0,85.0,1
39,843.0,60.0,74.0,109.0,1
40,473.0,914.0,61.0,78.0,1
41,976.0,822.0,48.0,105.0,1
42,52.0,425.0,72.0,96.0,1
43,259.0,635.0,55.0,61.0,1
