#item,x,y,width,height,label
0,218.0,398.0,77.0,79.0,1
1,200.0,687.0,99.0,69.0,1
2,887.0,386.0,47.0,98.0,1
3,43.0,399.0,65.0,92.0,1
4,695.0,456.0,81.0,71.0,1
5,656.0,909.0,56.0,70.0,1
6,757.0,463.0,38.0,46.0,1
7,275.0,248.0,42.0,47.0,1
8,526.0,133.0,64.0,108.0,1
9,397.0,463.0,36.0,63.0,1
10,923.0,263.0,96.0,66.0,1
11,726.0,367.0,53.0,42.0,1
12,293.0,100.0,58.0,130.0,1
13,409.0,61.0,48.0,112.0,1
14,71.0,669.0,63.0,47.0,1
15,485.0,379.0,59.0,30.0,1
16,441.0,490.0,50.0,108.0,1
17,160.0,167.0,103.0,118.0,1
18,626.0,0.0,87.0,79.0,1
19,313.0,516.0,67.0,123.0,1
20,594.0,818.0,66.0,67.0,1
21,33.0,195.0,54.0,87.0,1
22,613.0,756.0,52.0,67.0,1
23,55.0,736.0,50.0,53.0,1
24,396.0,697.0,83.0,76.0,1
25,661.0,337.0,94.0,51.0,1
26,220.0,278.0,41.0,61.0,1
27,495.0,548.0,62.0,43.0,1
28,515.0,591.0,90.0,104.0,1
29,402.0,329.0,43.0,60.0,1
30,748.0,118.0,84.0,100.0,1
31,113.0,657.0,57.0,39.0,1
32,106.0,40.0,88.0,106.0,1
33,467.0,319.0,55.0,57.0,1
34,876.0,207.0,100.0,64.0,1
35,494.0,131.0,31.0,107.0,1
36,53.0,800.0,61.0,111.0,1
37,975.0,783.0,49.0,72.0,1
38,95.0,632.0,59.0,35.0,1
39,583.0,391.0,71.0,54.0,1
40,391.0,573.0,41.0,96.0,1
41,944.0,581.0,52.0,63.0,1
42,8.0,781.0,39.0,44.0,1
43,204.0,184.0,65.0,53.0,1
44,549.0,661.0,65.0,37.0,1
45,0.0,654.0,46.0,46.0,1
46,809.0,290.0,48.0,43.0,1
47,798.0,396.0,102.0,74.0,1
48,425.0,762.0,67.0,38.0,1
49,589.0,126.0,48.0,94.0,1
