#item,x,y,width,height,label
0,953.0,703.0,71.0,82.0,1
1,641.0,209.0,83.0,81.0,1
2,282.0,589.0,115.0,112.0,1
3,432.0,0.0,81.0,91.0,1
4,691.0,0.0,66.0,48.0,1
5,817.0,198.0,65.0,145.0,1
6,826.0,870.0,70.0,80.0,1
7,657.0,602.0,117.0,89.0,1
8,177.0,972.0,77.0,52.0,1
9,870.0,230.0,48.0,86.0,1
10,681.0,308.0,79.0,63.0,1
11,473.0,186.0,45.0,32.0,1
12,340.0,390.0,92.0,80.0,1
13,396.0,670.0,81.0,107.0,1
14,290.0,856.0,90.0,73.0,1
15,780.0,792.0,77.0,60.0,1
16,982.0,478.0,42.0,53.0,1
17,107.0,889.0,90.0,79.0,1
18,1006.0,78.0,18.0,64.0,1
19,1.0,75.0,19.0,72.0,1
20,658.0,74.0,116.0,144.0,1
21,37.0,928.0,48.0,47.0,1
22,713.0,359.0,89.0,163.0,1
23,0.0,350.0,48.0,85.0,1
24,48.0,835.0,94.0,80.0,1
25,552.0,217.0,62.0,80.0,1
26,677.0,683.0,71.0,64.0,1
27,268.0,635.0,69.0,80.0,1
28,929.0,442.0,80.0,89.0,1
29,473.0,213.0,94.0,79.0,1
30,350.0,107.0,88.0,104.0,1
31,968.0,361.0,56.0,66.0,1
32,977.0,257.0,47.0,101.0,1
33,166.0,73.0,53.0,101.0,1
34,259.0,711.0,86.0,63.0,1
35,885.0,795.0,89.0,125.0,1
36,130.0,0.0,61.0,57.0,1
37,920.0,194.0,54.0,75.0,1
38,219.0,115.0,70.0,77.0,1
39,834.0,100.0,81.0,92.0,1
40,199.0,0.0,103.0,107.0,1
41,445.0,290.0,116.0,102.0,1
42,242.0,986.0,62.0,38.0,1
43,906.0,86.0,65.0,85.0,1
44,0.0,183.0,60.0,71.0,1
45,195.0,457.0,86.0,100.0,1
