#item,x,y,width,height,label
0,75.0,174.0,37.0,64.0,1
1,376.0,318.0,77.0,49.0,1
2,569.0,579.0,55.0,37.0,1
3,176.0,542.0,51.0,54.0,1
4,720.0,896.0,125.0,61.0,1
5,769.0,66.0,131.0,113.0,1
6,611.0,896.0,45.0,46.0,1
7,989.0,493.0,33.0,29.0,1
8,435.0,241.0,48.0,59.0,1
9,378.0,941.0,78.0,71.0,1
10,110.0,143.0,70.0,114.0,1
11,3.0,831.0,90.0,49.0,1
12,41.0,286.0,75.0,105.0,1
13,946.0,241.0,72.0,46.0,1
14,460.0,882.0,61.0,56.0,1
15,474.0,372.0,79.0,88.0,1
16,675.0,335.0,70.0,53.0,1
17,705.0,587.0,104.0,73.0,1
18,746.0,200.0,72.0,110.0,1
19,516.0,982.0,101.0,42.0,1
20,533.0,42.0,28.0,36.0,1
21,938.0,549.0,86.0,48.0,1
22,284.0,124.0,68.0,80.0,1
23,833.0,294.0,97.0,59.0,1
24,566.0,934.0,70.0,57.0,1
25,490.0,46.0,51.0,41.0,1
26,396.0,597.0,73.0,87.0,1
27,421.0,0.0,70.0,27.0,1
28,0.0,295.0,34.0,73.0,1
29,812.0,172.0,79.0,61.0,1
30,0.0,392.0,145.0,93.0,1
31,1006.0,523.0,18.0,43.0,1
32,777.0,1003.0,36.0,19.0,1
33,746.0,331.0,103.0,55.0,1
34,27.0,923.0,71.0,84.0,1
35,314.0,79.0,80.0,69.0,1
36,591.0,332.0,77.0,65.0,1
37,282.0,888.0,76.0,72.0,1
38,925.0,104.0,77.0,129.0,1
39,444.0,433.0,53.0,79.0,1
40,67.0,902.0,70.0,111.0,1
41,870.0,336.0,131.0,72.0,1
42,296.0,677.0,48.0,102.0,1
