#item,x,y,width,height,label
0,60.0,880.0,79.0,54.0,1
1,80.0,617.0,80.0,93.0,1
2,512.0,817.0,121.0,108.0,1
3,565.0,995.0,44.0,28.0,1
4,206.0,325.0,44.0,89.0,1
5,521.0,115.0,73.0,35.0,1
6,893.0,382.0,51.0,110.0,1
7,132.0,138.0,82.0,47.0,1
8,310.0,671.0,72.0,87.0,1
9,739.0,362.0,88.0,38.0,1
10,305.0,2.0,86.0,66.0,1
11,457.0,178.0,38.0,50.0,1
12,819.0,795.0,89.0,55.0,1
13,673.0,173.0,58.0,146.0,1
14,313.0,547.0,45.0,48.0,1
15,395.0,538.0,88.0,66.0,1
16,759.0,493.0,42.0,138.0,1
17,435.0,51.0,33.0,52.0,1
18,602.0,477.0,52.0,100.0,1
19,628.0,869.0,125.0,88.0,1
20,153.0,832.0,79.0,42.0,1
21,558.0,19.0,155.0,50.0,1
22,826.0,944.0,67.0,78.0,1
23,311.0,478.0,51.0,72.0,1
24,832.0,858.0,111.0,64.0,1
25,947.0,627.0,74.0,78.0,1
26,977.0,397.0,45.0,59.0,1
27,711.0,128.0,37.0,122.0,1
28,832.0,650.0,57.0,62.0,1
29,918.0,297.0,78.0,47.0,1
30,65.0,0.0,66.0,64.0,1
31,143.0,178.0,101.0,56.0,1
32,471.0,944.0,44.0,80.0,1
33,67.0,249.0,130.0,68.0,1
34,540.0,826.0,48.0,54.0,1
35,422.0,739.0,63.0,84.0,1
36,321.0,786.0,49.0,62.0,1
37,684.0,499.0,67.0,105.0,1
38,446.0,159.0,142.0,124.0,1
39,851.0,0.0,52.0,55.0,1
40,169.0,983.0,39.0,35.0,1
41,942.0,331.0,54.0,31.0,1
42,140.0,53.0,120.0,48.0,1
43,266.0,899.0,60.0,45.0,1
44,0.0,467.0,97.0,36.0,1
45,282.0,849.0,127.0,48.0,1
46,425.0,530.0,110.0,63.0,1
47,979.0,775.0,44.0,91.0,1
48,322.0,938.0,56.0,40.0,1
49,513.0,376.0,74.0,49.0,1
50,0.0,246.0,57.0,99.0,1
51,629.0,979.0,116.0,45.0,1
52,159.0,592.0,50.0,45.0,1
53,712.0,434.0,69.0,75.0,1
54,46.0,670.0,65.0,112.0,1
55,937.0,908.0,59.0,115.0,1
56,0.0,881.0,55.0,54.0,1
57,492.0,314.0,44.0,66.0,1
