#item,x,y,width,height,label
0,504.0,335.0,148.0,235.0,1
1,794.0,890.0,98.0,113.0,1
2,237.0,844.0,94.0,67.0,1
3,731.0,1.0,133.0,232.0,1
4,227.0,654.0,94.0,106.0,1
5,655.0,157.0,90.0,100.0,1
6,216.0,891.0,62.0,60.0,1
7,373.0,233.0,94.0,97.0,1
8,0.0,420.0,62.0,116.0,1
9,543.0,52.0,104.0,71.0,1
10,585.0,241.0,153.0,117.0,1
11,416.0,859.0,80.0,71.0,1
12,0.0,684.0,75.0,71.0,1
13,118.0,500.0,81.0,114.0,1
14,347.0,844.0,76.0,90.0,1
15,956.0,420.0,68.0,86.0,1
16,83.0,770.0,96.0,174.0,1
17,651.0,850.0,84.0,162.0,1
18,325.0,456.0,75.0,78.0,1
19,283.0,490.0,82.0,111.0,1
20,1.0,199.0,67.0,92.0,1
21,312.0,144.0,79.0,85.0,1
22,172.0,234.0,99.0,95.0,1
23,29.0,972.0,74.0,52.0,1
24,516.0,925.0,61.0,99.0,1
25,204.0,405.0,70.0,75.0,1
26,354.0,1.0,119.0,199.0,1
27,86.0,312.0,124.0,91.0,1
28,623.0,382.0,145.0,118.0,1
29,729.0,374.0,75.0,55.0,1
30,105.0,138.0,73.0,77.0,1
31,0.0,326.0,116.0,139.0,1
32,347.0,951.0,95.0,73.0,1
33,731.0,278.0,60.0,49.0,1
