#item,x,y,width,height,label
0,0.0,214.0,131.0,164.0,1
1,291.0,648.0,41.0,173.0,1
2,403.0,364.0,109.0,96.0,1
3,165.0,330.0,87.0,143.0,1
4,755.0,229.0,149.0,72.0,1
5,857.0,281.0,123.0,89.0,1
6,759.0,499.0,161.0,273.0,1
7,439.0,274.0,95.0,93.0,1
8,961.0,10.0,63.0,114.0,1
9,634.0,320.0,54.0,86.0,1
10,112.0,684.0,89.0,136.0,1
11,209.0,644.0,82.0,173.0,1
12,432.0,550.0,103.0,235.0,1
13,421.0,677.0,68.0,161.0,1
14,839.0,727.0,50.0,83.0,1
15,68.0,553.0,94.0,126.0,1
16,882.0,921.0,56.0,102.0,1
17,986.0,509.0,38.0,77.0,1
18,269.0,510.0,97.0,127.0,1
19,674.0,882.0,60.0,69.0,1
20,569.0,595.0,42.0,166.0,1
21,493.0,974.0,62.0,46.0,1
22,328.0,233.0,46.0,91.0,1
23,0.0,99.0,46.0,83.0,1
24,97.0,53.0,106.0,141.0,1
25,329.0,0.0,73.0,62.0,1
26,387.0,183.0,169.0,50.0,1
27,605.0,530.0,85.0,228.0,1
28,610.0,60.0,142.0,282.0,1
29,248.0,868.0,47.0,71.0,1
30,373.0,0.0,155.0,119.0,1
31,647.0,291.0,144.0,225.0,1
32,32.0,105.0,113.0,128.0,1
33,146.0,915.0,123.0,109.0,1
34,314.0,269.0,165.0,163.0,1
35,14.0,898.0,104.0,42.0,1
36,0.0,431.0,160.0,114.0,1
37,950.0,596.0,74.0,148.0,1
