#item,x,y,width,height,label
0,990.0,794.0,33.0,37.0,1
1,780.0,303.0,37.0,67.0,1
2,349.0,610.0,59.0,44.0,1
3,492.0,689.0,120.0,111.0,1
4,428.0,92.0,38.0,55.0,1
5,402.0,919.0,49.0,36.0,1
6,844.0,56.0,59.0,87.0,1
7,776.0,195.0,88.0,54.0,1
8,43.0,200.0,34.0,33.0,1
9,850.0,450.0,84.0,53.0,1
10,486.0,1.0,52.0,41.0,1
11,863.0,115.0,83.0,57.0,1
12,568.0,553.0,83.0,48.0,1
13,463.0,642.0,83.0,65.0,1
14,679.0,988.0,70.0,32.0,1
15,774.0,582.0,78.0,52.0,1
16,131.0,900.0,102.0,35.0,1
17,245.0,29.0,54.0,47.0,1
18,152.0,577.0,45.0,37.0,1
19,961.0,700.0,63.0,41.0,1
20,651.0,478.0,55.0,56.0,1
21,392.0,419.0,51.0,46.0,1
22,623.0,101.0,142.0,73.0,1
23,569.0,22.0,45.0,67.0,1
24,24.0,47.0,52.0,43.0,1
25,412.0,466.0,64.0,37.0,1
26,747.0,622.0,40.0,22.0,1
27,357.0,449.0,35.0,32.0,1
28,37.0,776.0,42.0,39.0,1
29,384.0,985.0,71.0,38.0,1
30,209.0,946.0,61.0,71.0,1
31,236.0,661.0,48.0,45.0,1
32,179.0,207.0,46.0,34.0,1
33,436.0,519.0,120.0,60.0,1
34,72.0,816.0,58.0,30.0,1
35,714.0,789.0,97.0,41.0,1
36,438.0,589.0,82.0,57.0,1
37,442.0,140.0,69.0,38.0,1
38,987.0,747.0,29.0,23.0,1
39,891.0,514.0,47.0,41.0,1
40,90.0,249.0,53.0,29.0,1
41,555.0,765.0,62.0,116.0,1
42,371.0,734.0,58.0,72.0,1
43,483.0,889.0,145.0,44.0,1
44,71.0,742.0,67.0,63.0,1
45,717.0,0.0,100.0,45.0,1
46,378.0,268.0,32.0,32.0,1
47,377.0,135.0,57.0,61.0,1
48,0.0,142.0,42.0,46.0,1
49,600.0,243.0,109.0,70.0,1
50,937.0,581.0,37.0,31.0,1
51,948.0,653.0,37.0,33.0,1
52,242.0,330.0,59.0,39.0,1
53,475.0,317.0,57.0,44.0,1
54,821.0,718.0,74.0,53.0,1
55,810.0,864.0,35.0,26.0,1
56,425.0,261.0,30.0,27.0,1
57,665.0,905.0,101.0,35.0,1
58,274.0,274.0,55.0,29.0,1
59,111.0,634.0,64.0,41.0,1
60,286.0,804.0,63.0,51.0,1
61,650.0,302.0,70.0,43.0,1
62,105.0,358.0,102.0,77.0,1
63,132.0,304.0,59.0,46.0,1
64,984.0,360.0,39.0,38.0,1
65,667.0,585.0,40.0,31.0,1
66,922.0,999.0,55.0,25.0,1
67,310.0,155.0,86.0,65.0,1
68,858.0,878.0,45.0,36.0,1
69,281.0,517.0,60.0,45.0,1
70,508.0,37.0,50.0,59.0,1
71,638.0,947.0,55.0,33.0,1
72,0.0,955.0,82.0,69.0,1
73,542.0,513.0,49.0,30.0,1
74,223.0,567.0,46.0,49.0,1
75,331.0,901.0,46.0,62.0,1
76,454.0,768.0,39.0,36.0,1
77,572.0,605.0,64.0,33.0,1
78,879.0,555.0,62.0,57.0,1
79,822.0,18.0,57.0,85.0,1
80,745.0,83.0,30.0,36.0,1
81,0.0,360.0,32.0,28.0,1
82,194.0,461.0,142.0,43.0,1
83,774.0,949.0,67.0,73.0,1
84,691.0,197.0,101.0,75.0,1
85,177.0,255.0,114.0,54.0,1
86,153.0,784.0,79.0,68.0,1
87,158.0,978.0,45.0,46.0,1
88,345.0,195.0,54.0,40.0,1
89,299.0,554.0,48.0,48.0,1
90,772.0,665.0,41.0,34.0,1
91,826.0,656.0,63.0,32.0,1
92,0.0,577.0,86.0,34.0,1
93,121.0,686.0,80.0,42.0,1
94,981.0,326.0,41.0,33.0,1
95,174.0,43.0,46.0,46.0,1
