#item,x,y,width,height,label
0,325.0,982.0,134.0,42.0,1
1,869.0,355.0,66.0,68.0,1
2,716.0,158.0,69.0,66.0,1
3,343.0,50.0,72.0,69.0,1
4,282.0,197.0,84.0,68.0,1
5,696.0,919.0,73.0,88.0,1
6,943.0,243.0,81.0,61.0,1
7,0.0,178.0,22.0,60.0,1
8,757.0,556.0,103.0,119.0,1
9,934.0,150.0,90.0,64.0,1
10,146.0,146.0,96.0,76.0,1
11,745.0,671.0,126.0,83.0,1
12,871.0,897.0,83.0,127.0,1
13,884.0,820.0,81.0,70.0,1
14,286.0,663.0,118.0,88.0,1
15,397.0,819.0,61.0,61.0,1
16,886.0,576.0,113.0,76.0,1
17,586.0,309.0,79.0,70.0,1
18,481.0,800.0,138.0,86.0,1
19,215.0,442.0,74.0,70.0,1
20,894.0,342.0,84.0,71.0,1
21,302.0,79.0,64.0,61.0,1
22,119.0,293.0,63.0,75.0,1
23,306.0,412.0,81.0,74.0,1
24,62.0,984.0,86.0,40.0,1
25,890.0,737.0,129.0,83.0,1
26,10.0,261.0,72.0,109.0,1
27,536.0,586.0,78.0,30.0,1
28,416.0,295.0,107.0,96.0,1
29,793.0,161.0,86.0,59.0,1
30,0.0,89.0,40.0,58.0,1
31,699.0,394.0,98.0,77.0,1
32,197.0,350.0,78.0,75.0,1
33,0.0,673.0,38.0,68.0,1
34,339.0,150.0,62.0,46.0,1
35,888.0,251.0,60.0,53.0,1
36,0.0,895.0,44.0,116.0,1
37,200.0,780.0,69.0,54.0,1
38,393.0,333.0,59.0,63.0,1
39,245.0,552.0,86.0,65.0,1
