#item,x,y,width,height,label
0,675.0,568.0,67.0,108.0,1
1,18.0,857.0,71.0,101.0,1
2,0.0,488.0,77.0,129.0,1
3,986.0,351.0,38.0,61.0,1
4,781.0,864.0,64.0,74.0,1
5,196.0,163.0,62.0,102.0,1
6,987.0,209.0,36.0,62.0,1
7,520.0,219.0,81.0,81.0,1
8,408.0,713.0,49.0,118.0,1
9,817.0,524.0,82.0,67.0,1
10,331.0,954.0,79.0,70.0,1
11,628.0,401.0,69.0,130.0,1
12,217.0,566.0,75.0,80.0,1
13,216.0,10.0,70.0,68.0,1
14,767.0,715.0,93.0,128.0,1
15,913.0,93.0,76.0,67.0,1
16,567.0,319.0,56.0,69.0,1
17,297.0,0.0,76.0,37.0,1
18,897.0,637.0,75.0,59.0,1
19,272.0,421.0,76.0,113.0,1
20,840.0,0.0,107.0,72.0,1
21,912.0,736.0,89.0,144.0,1
22,362.0,132.0,49.0,75.0,1
23,270.0,135.0,46.0,42.0,1
24,841.0,22.0,63.0,86.0,1
25,325.0,120.0,54.0,78.0,1
26,613.0,820.0,110.0,91.0,1
27,603.0,960.0,70.0,64.0,1
28,0.0,153.0,34.0,136.0,1
29,102.0,964.0,79.0,50.0,1
30,565.0,398.0,49.0,103.0,1
31,67.0,492.0,44.0,82.0,1
32,448.0,481.0,95.0,200.0,1
33,0.0,857.0,20.0,150.0,1
34,942.0,967.0,59.0,57.0,1
35,427.0,635.0,46.0,110.0,1
36,714.0,404.0,95.0,131.0,1
