#item,x,y,width,height,label
0,487.0,916.0,140.0,108.0,1
1,636.0,656.0,71.0,106.0,1
2,325.0,0.0,134.0,62.0,1
3,512.0,259.0,50.0,50.0,1
4,848.0,31.0,155.0,134.0,1
5,837.0,284.0,64.0,54.0,1
6,627.0,449.0,63.0,58.0,1
7,22.0,318.0,105.0,84.0,1
8,780.0,343.0,99.0,57.0,1
9,824.0,814.0,72.0,58.0,1
10,170.0,719.0,90.0,58.0,1
11,862.0,163.0,68.0,70.0,1
12,680.0,183.0,96.0,60.0,1
13,62.0,0.0,86.0,45.0,1
14,780.0,501.0,63.0,54.0,1
15,822.0,225.0,133.0,75.0,1
16,878.0,630.0,69.0,58.0,1
17,709.0,395.0,93.0,89.0,1
18,928.0,388.0,95.0,97.0,1
19,841.0,438.0,109.0,63.0,1
20,71.0,527.0,99.0,115.0,1
21,289.0,314.0,73.0,71.0,1
22,116.0,237.0,59.0,60.0,1
23,945.0,803.0,79.0,74.0,1
24,427.0,467.0,103.0,136.0,1
25,336.0,924.0,99.0,100.0,1
26,375.0,339.0,74.0,80.0,1
27,174.0,511.0,102.0,98.0,1
28,566.0,822.0,139.0,86.0,1
29,627.0,917.0,123.0,68.0,1
30,27.0,884.0,121.0,95.0,1
