#item,x,y,width,height,label
0,315.0,893.0,138.0,68.0,1
1,812.0,857.0,46.0,55.0,1
2,724.0,541.0,80.0,109.0,1
3,29.0,610.0,122.0,60.0,1
4,724.0,455.0,87.0,80.0,1
5,989.0,577.0,35.0,105.0,1
6,78.0,98.0,66.0,103.0,1
7,267.0,396.0,63.0,153.0,1
8,755.0,670.0,88.0,81.0,1
9,93.0,285.0,66.0,151.0,1
10,248.0,723.0,103.0,128.0,1
11,815.0,310.0,114.0,91.0,1
12,70.0,663.0,69.0,110.0,1
13,890.0,687.0,66.0,89.0,1
14,166.0,785.0,72.0,80.0,1
15,536.0,977.0,113.0,47.0,1
16,957.0,513.0,67.0,124.0,1
17,152.0,59.0,58.0,74.0,1
18,777.0,490.0,72.0,66.0,1
19,51.0,304.0,87.0,131.0,1
20,692.0,173.0,77.0,163.0,1
21,404.0,737.0,84.0,123.0,1
