#item,x,y,width,height,label
0,783.0,76.0,170.0,89.0,1
1,722.0,155.0,66.0,60.0,1
2,656.0,394.0,59.0,43.0,1
3,471.0,30.0,74.0,100.0,1
4,114.0,283.0,82.0,50.0,1
5,53.0,115.0,136.0,107.0,1
6,452.0,293.0,62.0,55.0,1
7,4.0,23.0,110.0,61.0,1
8,617.0,968.0,90.0,56.0,1
9,588.0,400.0,74.0,43.0,1
10,640.0,852.0,151.0,87.0,1
11,532.0,227.0,95.0,64.0,1
12,138.0,396.0,74.0,95.0,1
13,0.0,343.0,42.0,47.0,1
14,31.0,450.0,84.0,38.0,1
15,724.0,316.0,91.0,67.0,1
16,486.0,962.0,81.0,61.0,1
17,232.0,0.0,182.0,53.0,1
18,576.0,576.0,133.0,69.0,1
19,655.0,627.0,69.0,71.0,1
20,820.0,951.0,98.0,48.0,1
21,26.0,877.0,63.0,67.0,1
22,688.0,796.0,110.0,115.0,1
