#item,x,y,width,height,label
0,745.0,916.0,196.0,108.0,1
1,657.0,821.0,70.0,59.0,1
2,964.0,977.0,59.0,40.0,1
3,655.0,681.0,184.0,145.0,1
4,910.0,604.0,114.0,91.0,1
5,658.0,671.0,89.0,74.0,1
6,732.0,803.0,146.0,62.0,1
7,887.0,855.0,137.0,144.0,1
8,942.0,701.0,82.0,56.0,1
9,668.0,462.0,77.0,94.0,1
10,279.0,668.0,74.0,64.0,1
11,432.0,555.0,113.0,97.0,1
12,791.0,869.0,184.0,59.0,1
13,377.0,877.0,66.0,68.0,1
14,797.0,964.0,127.0,59.0,1
15,566.0,493.0,107.0,128.0,1
16,5.0,810.0,81.0,55.0,1
17,583.0,968.0,113.0,56.0,1
18,15.0,545.0,79.0,185.0,1
19,404.0,532.0,115.0,108.0,1
20,457.0,973.0,53.0,49.0,1
