#item,x,y,width,height,label
0,58.0,660.0,90.0,64.0,1
1,0.0,889.0,56.0,102.0,1
2,30.0,517.0,69.0,105.0,1
3,57.0,390.0,112.0,57.0,1
4,117.0,975.0,87.0,49.0,1
5,220.0,371.0,107.0,84.0,1
6,104.0,872.0,84.0,109.0,1
7,148.0,837.0,79.0,60.0,1
8,0.0,670.0,68.0,58.0,1
9,117.0,9.0,92.0,66.0,1
10,197.0,131.0,100.0,80.0,1
11,174.0,760.0,143.0,69.0,1
12,128.0,261.0,148.0,89.0,1
13,1.0,842.0,82.0,123.0,1
14,0.0,450.0,53.0,108.0,1
15,56.0,89.0,87.0,64.0,1
16,94.0,522.0,72.0,84.0,1
17,59.0,442.0,61.0,58.0,1
18,51.0,45.0,87.0,64.0,1
19,0.0,258.0,51.0,85.0,1
