#item,x,y,width,height,label
0,546.0,86.0,92.0,61.0,1
1,171.0,210.0,69.0,61.0,1
2,796.0,973.0,79.0,50.0,1
3,247.0,231.0,82.0,123.0,1
4,448.0,0.0,84.0,43.0,1
5,382.0,495.0,79.0,76.0,1
6,240.0,638.0,57.0,54.0,1
7,196.0,457.0,43.0,73.0,1
8,259.0,923.0,55.0,44.0,1
9,570.0,233.0,60.0,61.0,1
10,382.0,796.0,56.0,42.0,1
11,565.0,17.0,106.0,65.0,1
12,736.0,77.0,82.0,65.0,1
13,198.0,595.0,45.0,43.0,1
14,144.0,737.0,56.0,50.0,1
15,175.0,149.0,58.0,56.0,1
16,886.0,707.0,85.0,53.0,1
17,1.0,675.0,66.0,84.0,1
18,951.0,176.0,55.0,71.0,1
19,66.0,994.0,39.0,30.0,1
20,191.0,0.0,57.0,94.0,1
21,501.0,146.0,81.0,54.0,1
22,196.0,300.0,79.0,50.0,1
23,45.0,479.0,47.0,52.0,1
24,107.0,975.0,59.0,48.0,1
25,450.0,77.0,86.0,67.0,1
26,327.0,758.0,74.0,51.0,1
27,189.0,942.0,46.0,54.0,1
28,325.0,423.0,57.0,41.0,1
29,724.0,40.0,98.0,64.0,1
30,776.0,272.0,101.0,74.0,1
31,56.0,354.0,87.0,92.0,1
32,970.0,33.0,54.0,63.0,1
33,542.0,516.0,67.0,55.0,1
34,702.0,614.0,125.0,67.0,1
35,432.0,120.0,78.0,88.0,1
36,281.0,124.0,55.0,92.0,1
