#item,x,y,width,height,label
0,65.0,0.0,34.0,46.0,1
1,568.0,734.0,87.0,44.0,1
2,801.0,204.0,118.0,77.0,1
3,97.0,435.0,84.0,64.0,1
4,793.0,483.0,108.0,87.0,1
5,888.0,404.0,133.0,64.0,1
6,25.0,176.0,77.0,72.0,1
7,859.0,0.0,74.0,22.0,1
8,762.0,381.0,121.0,77.0,1
9,58.0,273.0,85.0,62.0,1
10,46.0,407.0,76.0,46.0,1
11,152.0,177.0,68.0,57.0,1
12,12.0,64.0,77.0,94.0,1
13,1.0,276.0,49.0,48.0,1
14,875.0,168.0,118.0,93.0,1
15,76.0,0.0,56.0,66.0,1
16,926.0,468.0,98.0,59.0,1
17,739.0,596.0,190.0,100.0,1
18,890.0,51.0,100.0,84.0,1
19,164.0,201.0,74.0,85.0,1
20,944.0,273.0,80.0,70.0,1
21,202.0,230.0,77.0,54.0,1
22,878.0,360.0,102.0,59.0,1
23,788.0,153.0,128.0,90.0,1
24,186.0,64.0,49.0,56.0,1
25,130.0,284.0,92.0,82.0,1
