#item,x,y,width,height,label
0,872.0,184.0,146.0,136.0,1
1,785.0,309.0,116.0,126.0,1
2,883.0,440.0,112.0,84.0,1
3,145.0,632.0,61.0,94.0,1
4,92.0,455.0,189.0,123.0,1
5,200.0,182.0,48.0,90.0,1
6,243.0,882.0,56.0,80.0,1
7,285.0,869.0,70.0,126.0,1
8,295.0,739.0,180.0,71.0,1
9,642.0,424.0,141.0,141.0,1
10,850.0,868.0,112.0,112.0,1
11,668.0,138.0,107.0,212.0,1
12,913.0,648.0,104.0,66.0,1
13,535.0,2.0,105.0,169.0,1
14,573.0,614.0,128.0,125.0,1
15,75.0,532.0,66.0,69.0,1
16,888.0,2.0,82.0,79.0,1
17,690.0,737.0,128.0,150.0,1
18,601.0,157.0,114.0,182.0,1
19,849.0,156.0,87.0,130.0,1
20,808.0,33.0,59.0,97.0,1
21,872.0,529.0,141.0,100.0,1
22,652.0,529.0,98.0,105.0,1
23,272.0,788.0,120.0,51.0,1
