#item,x,y,width,height,label
0,903.0,922.0,86.0,102.0,1
1,783.0,15.0,72.0,82.0,1
2,25.0,770.0,72.0,126.0,1
3,811.0,194.0,74.0,90.0,1
4,979.0,927.0,45.0,97.0,1
5,899.0,792.0,98.0,122.0,1
6,926.0,550.0,92.0,95.0,1
7,829.0,128.0,56.0,56.0,1
8,816.0,824.0,80.0,82.0,1
9,79.0,601.0,79.0,156.0,1
10,865.0,755.0,69.0,117.0,1
11,844.0,627.0,95.0,84.0,1
12,921.0,778.0,92.0,74.0,1
13,858.0,953.0,46.0,71.0,1
14,64.0,755.0,102.0,79.0,1
15,834.0,0.0,82.0,87.0,1
16,704.0,371.0,104.0,128.0,1
17,860.0,163.0,89.0,128.0,1
18,842.0,555.0,71.0,67.0,1
19,803.0,903.0,50.0,114.0,1
20,5.0,853.0,61.0,125.0,1
21,742.0,327.0,51.0,57.0,1
22,81.0,922.0,76.0,102.0,1
23,834.0,399.0,56.0,66.0,1
