#item,x,y,width,height,label
0,391.0,99.0,92.0,93.0,1
1,750.0,791.0,120.0,69.0,1
2,563.0,750.0,97.0,94.0,1
3,691.0,732.0,94.0,89.0,1
4,752.0,192.0,82.0,92.0,1
5,483.0,304.0,101.0,70.0,1
6,640.0,765.0,76.0,118.0,1
7,870.0,433.0,64.0,123.0,1
8,563.0,0.0,97.0,104.0,1
9,524.0,327.0,80.0,82.0,1
10,494.0,232.0,84.0,85.0,1
11,739.0,58.0,90.0,105.0,1
12,858.0,60.0,49.0,68.0,1
13,742.0,752.0,54.0,85.0,1
14,453.0,243.0,135.0,156.0,1
15,857.0,752.0,108.0,131.0,1
16,967.0,450.0,57.0,85.0,1
17,673.0,916.0,74.0,74.0,1
18,565.0,901.0,67.0,102.0,1
19,952.0,309.0,72.0,57.0,1
20,634.0,348.0,75.0,66.0,1
21,390.0,891.0,115.0,114.0,1
22,857.0,660.0,100.0,177.0,1
23,637.0,565.0,84.0,98.0,1
24,842.0,624.0,92.0,62.0,1
25,588.0,222.0,121.0,67.0,1
26,744.0,437.0,95.0,69.0,1
27,927.0,903.0,90.0,120.0,1
28,913.0,61.0,49.0,77.0,1
29,522.0,629.0,58.0,51.0,1
30,805.0,986.0,58.0,37.0,1
