#item,x,y,width,height,label
0,985.0,290.0,39.0,41.0,1
1,420.0,709.0,130.0,34.0,1
2,680.0,783.0,113.0,64.0,1
3,351.0,101.0,89.0,40.0,1
4,822.0,0.0,113.0,58.0,1
5,229.0,69.0,119.0,90.0,1
6,907.0,524.0,116.0,72.0,1
7,109.0,0.0,132.0,120.0,1
8,67.0,587.0,109.0,56.0,1
9,728.0,0.0,75.0,64.0,1
10,812.0,4.0,78.0,64.0,1
11,516.0,176.0,64.0,70.0,1
12,636.0,560.0,148.0,86.0,1
13,545.0,466.0,105.0,101.0,1
14,966.0,576.0,58.0,48.0,1
15,257.0,673.0,165.0,51.0,1
16,667.0,0.0,70.0,39.0,1
17,222.0,946.0,131.0,66.0,1
18,848.0,734.0,50.0,54.0,1
19,262.0,0.0,120.0,39.0,1
20,49.0,553.0,156.0,59.0,1
21,315.0,8.0,167.0,83.0,1
22,8.0,251.0,162.0,50.0,1
23,545.0,0.0,124.0,95.0,1
24,92.0,672.0,145.0,54.0,1
25,887.0,214.0,110.0,46.0,1
26,48.0,961.0,199.0,39.0,1
27,927.0,677.0,92.0,64.0,1
28,943.0,663.0,81.0,44.0,1
29,83.0,715.0,163.0,77.0,1
30,0.0,0.0,81.0,38.0,1
31,842.0,789.0,107.0,45.0,1
32,960.0,748.0,64.0,35.0,1
33,433.0,828.0,103.0,39.0,1
34,984.0,65.0,40.0,44.0,1
35,743.0,757.0,118.0,37.0,1
36,33.0,158.0,160.0,39.0,1
37,635.0,176.0,76.0,48.0,1
38,635.0,25.0,121.0,48.0,1
39,944.0,129.0,46.0,31.0,1
40,19.0,86.0,76.0,35.0,1
41,958.0,210.0,53.0,34.0,1
42,223.0,647.0,192.0,42.0,1
43,976.0,486.0,48.0,68.0,1
44,131.0,746.0,97.0,59.0,1
45,773.0,602.0,126.0,41.0,1
46,352.0,711.0,67.0,29.0,1
47,779.0,557.0,36.0,69.0,1
