#item,x,y,width,height,label
0,187.0,960.0,84.0,64.0,1
1,385.0,956.0,88.0,64.0,1
2,759.0,0.0,84.0,38.0,1
3,481.0,612.0,73.0,63.0,1
4,405.0,779.0,74.0,72.0,1
5,520.0,993.0,66.0,31.0,1
6,0.0,615.0,53.0,68.0,1
7,11.0,45.0,79.0,78.0,1
8,149.0,6.0,91.0,109.0,1
9,575.0,372.0,76.0,69.0,1
10,739.0,914.0,55.0,49.0,1
11,935.0,251.0,78.0,71.0,1
12,60.0,84.0,81.0,45.0,1
13,376.0,851.0,62.0,61.0,1
14,552.0,307.0,87.0,56.0,1
15,783.0,478.0,83.0,92.0,1
16,599.0,7.0,68.0,68.0,1
17,449.0,105.0,88.0,86.0,1
18,466.0,43.0,72.0,66.0,1
19,107.0,945.0,71.0,71.0,1
20,627.0,484.0,115.0,95.0,1
21,191.0,643.0,86.0,85.0,1
22,800.0,583.0,134.0,49.0,1
23,852.0,642.0,60.0,64.0,1
24,205.0,822.0,89.0,64.0,1
25,261.0,735.0,108.0,119.0,1
26,183.0,202.0,97.0,99.0,1
27,68.0,731.0,81.0,73.0,1
28,333.0,615.0,57.0,79.0,1
29,503.0,916.0,103.0,67.0,1
30,836.0,221.0,79.0,73.0,1
31,926.0,863.0,62.0,76.0,1
32,907.0,650.0,71.0,60.0,1
33,557.0,213.0,78.0,67.0,1
34,577.0,830.0,78.0,74.0,1
35,746.0,317.0,72.0,74.0,1
36,647.0,634.0,80.0,65.0,1
37,44.0,265.0,63.0,64.0,1
38,923.0,523.0,73.0,59.0,1
39,0.0,681.0,60.0,84.0,1
40,961.0,436.0,63.0,84.0,1
41,905.0,455.0,59.0,84.0,1
42,142.0,276.0,94.0,74.0,1
43,190.0,446.0,136.0,53.0,1
