#item,x,y,width,height,label
0,716.0,98.0,86.0,58.0,1
1,631.0,777.0,49.0,61.0,1
2,403.0,254.0,83.0,55.0,1
3,85.0,594.0,65.0,57.0,1
4,176.0,683.0,77.0,135.0,1
5,671.0,758.0,49.0,70.0,1
6,424.0,570.0,81.0,101.0,1
7,841.0,103.0,93.0,73.0,1
8,330.0,737.0,43.0,46.0,1
9,676.0,447.0,97.0,109.0,1
10,260.0,927.0,58.0,97.0,1
11,503.0,410.0,85.0,69.0,1
12,560.0,120.0,70.0,86.0,1
13,276.0,318.0,74.0,67.0,1
14,589.0,661.0,76.0,82.0,1
15,987.0,796.0,37.0,75.0,1
16,470.0,260.0,95.0,72.0,1
17,101.0,712.0,67.0,125.0,1
18,871.0,864.0,66.0,88.0,1
19,876.0,159.0,106.0,69.0,1
20,818.0,732.0,61.0,72.0,1
21,436.0,904.0,109.0,75.0,1
22,83.0,200.0,77.0,49.0,1
23,935.0,675.0,89.0,84.0,1
24,519.0,197.0,90.0,67.0,1
25,459.0,438.0,76.0,61.0,1
26,863.0,7.0,64.0,61.0,1
27,29.0,840.0,65.0,98.0,1
28,94.0,156.0,56.0,39.0,1
29,890.0,544.0,104.0,111.0,1
30,218.0,11.0,43.0,69.0,1
31,615.0,977.0,68.0,47.0,1
32,586.0,807.0,61.0,55.0,1
33,18.0,740.0,59.0,82.0,1
34,161.0,961.0,60.0,63.0,1
35,116.0,858.0,69.0,114.0,1
36,215.0,858.0,83.0,118.0,1
37,676.0,395.0,74.0,61.0,1
38,275.0,699.0,50.0,99.0,1
39,600.0,852.0,60.0,57.0,1
40,171.0,407.0,101.0,56.0,1
41,541.0,1.0,78.0,48.0,1
42,23.0,288.0,47.0,54.0,1
43,982.0,878.0,42.0,73.0,1
44,434.0,795.0,74.0,119.0,1
45,33.0,953.0,51.0,64.0,1
46,696.0,858.0,42.0,55.0,1
47,0.0,591.0,55.0,69.0,1
48,318.0,936.0,87.0,76.0,1
49,183.0,0.0,63.0,40.0,1
50,901.0,751.0,73.0,90.0,1
51,729.0,755.0,56.0,68.0,1
52,431.0,681.0,69.0,56.0,1
53,746.0,0.0,81.0,46.0,1
54,901.0,459.0,75.0,78.0,1
55,832.0,975.0,70.0,49.0,1
56,154.0,119.0,63.0,63.0,1
57,172.0,546.0,82.0,55.0,1
58,119.0,492.0,81.0,57.0,1
59,811.0,854.0,64.0,94.0,1
60,672.0,337.0,56.0,59.0,1
