#item,x,y,width,height,label
0,836.0,914.0,94.0,74.0,1
1,592.0,320.0,82.0,65.0,1
2,965.0,355.0,59.0,54.0,1
3,16.0,659.0,77.0,67.0,1
4,424.0,698.0,100.0,73.0,1
5,90.0,489.0,145.0,75.0,1
6,512.0,620.0,153.0,99.0,1
7,0.0,4.0,67.0,71.0,1
8,874.0,739.0,93.0,98.0,1
9,1.0,143.0,37.0,97.0,1
10,32.0,364.0,60.0,69.0,1
11,757.0,136.0,85.0,83.0,1
12,28.0,868.0,104.0,90.0,1
13,442.0,780.0,152.0,50.0,1
14,395.0,294.0,81.0,74.0,1
15,709.0,556.0,147.0,100.0,1
16,412.0,453.0,112.0,94.0,1
17,530.0,503.0,65.0,69.0,1
18,169.0,944.0,128.0,80.0,1
19,236.0,528.0,58.0,48.0,1
20,248.0,176.0,83.0,75.0,1
21,543.0,406.0,85.0,73.0,1
22,929.0,133.0,95.0,85.0,1
23,640.0,406.0,89.0,78.0,1
24,271.0,749.0,135.0,71.0,1
25,137.0,380.0,74.0,68.0,1
26,369.0,832.0,118.0,80.0,1
27,843.0,435.0,120.0,67.0,1
28,129.0,230.0,102.0,111.0,1
29,561.0,150.0,85.0,103.0,1
