#item,x,y,width,height,label
0,755.0,509.0,58.0,65.0,1
1,258.0,77.0,157.0,79.0,1
2,232.0,0.0,92.0,62.0,1
3,866.0,712.0,86.0,92.0,1
4,650.0,582.0,82.0,67.0,1
5,895.0,70.0,65.0,64.0,1
6,206.0,335.0,72.0,87.0,1
7,124.0,141.0,84.0,71.0,1
8,59.0,746.0,76.0,65.0,1
9,830.0,251.0,84.0,96.0,1
10,656.0,784.0,51.0,101.0,1
11,509.0,356.0,73.0,64.0,1
12,245.0,914.0,120.0,110.0,1
13,590.0,940.0,105.0,83.0,1
14,561.0,686.0,80.0,95.0,1
15,209.0,202.0,67.0,99.0,1
16,22.0,333.0,98.0,81.0,1
17,52.0,472.0,78.0,52.0,1
18,193.0,862.0,49.0,86.0,1
19,0.0,530.0,79.0,108.0,1
20,702.0,787.0,72.0,120.0,1
21,366.0,463.0,101.0,71.0,1
22,308.0,295.0,65.0,68.0,1
23,736.0,660.0,79.0,75.0,1
24,677.0,179.0,99.0,98.0,1
25,587.0,48.0,66.0,93.0,1
26,501.0,115.0,77.0,110.0,1
27,458.0,261.0,64.0,98.0,1
28,761.0,564.0,91.0,77.0,1
29,318.0,133.0,77.0,83.0,1
30,656.0,286.0,92.0,133.0,1
31,350.0,664.0,80.0,150.0,1
32,461.0,324.0,108.0,71.0,1
33,395.0,391.0,135.0,68.0,1
34,747.0,408.0,63.0,78.0,1
35,658.0,463.0,74.0,92.0,1
36,0.0,124.0,122.0,71.0,1
37,197.0,38.0,106.0,73.0,1
38,874.0,800.0,89.0,100.0,1
39,886.0,245.0,92.0,113.0,1
40,613.0,378.0,56.0,71.0,1
41,823.0,198.0,64.0,73.0,1
42,825.0,915.0,76.0,72.0,1
43,279.0,467.0,120.0,83.0,1
44,956.0,18.0,68.0,104.0,1
