#item,x,y,width,height,label
0,822.0,469.0,55.0,43.0,1
1,808.0,25.0,49.0,61.0,1
2,166.0,660.0,71.0,68.0,1
3,797.0,369.0,132.0,82.0,1
4,284.0,219.0,70.0,51.0,1
5,336.0,504.0,101.0,109.0,1
6,267.0,353.0,80.0,65.0,1
7,932.0,111.0,50.0,62.0,1
8,0.0,534.0,48.0,44.0,1
9,947.0,766.0,51.0,45.0,1
10,837.0,62.0,43.0,68.0,1
11,178.0,859.0,127.0,76.0,1
12,64.0,282.0,62.0,44.0,1
13,0.0,789.0,60.0,63.0,1
14,382.0,250.0,39.0,76.0,1
15,969.0,562.0,51.0,94.0,1
16,333.0,266.0,151.0,60.0,1
17,607.0,906.0,65.0,98.0,1
18,199.0,552.0,97.0,90.0,1
19,573.0,679.0,102.0,68.0,1
20,110.0,498.0,157.0,79.0,1
21,875.0,770.0,31.0,21.0,1
22,981.0,164.0,43.0,33.0,1
23,542.0,885.0,66.0,74.0,1
24,564.0,701.0,79.0,114.0,1
25,163.0,801.0,157.0,58.0,1
26,534.0,563.0,88.0,61.0,1
27,111.0,369.0,49.0,38.0,1
28,420.0,68.0,71.0,41.0,1
29,437.0,656.0,55.0,51.0,1
30,920.0,867.0,81.0,81.0,1
31,577.0,507.0,130.0,70.0,1
32,551.0,804.0,41.0,55.0,1
33,892.0,583.0,58.0,60.0,1
34,350.0,168.0,47.0,82.0,1
35,296.0,455.0,59.0,52.0,1
36,0.0,611.0,75.0,69.0,1
37,268.0,108.0,100.0,108.0,1
38,562.0,331.0,67.0,59.0,1
39,454.0,336.0,43.0,52.0,1
40,905.0,483.0,107.0,54.0,1
41,785.0,578.0,68.0,51.0,1
42,15.0,395.0,60.0,53.0,1
43,770.0,892.0,120.0,102.0,1
44,764.0,0.0,84.0,27.0,1
45,432.0,413.0,108.0,65.0,1
46,809.0,664.0,57.0,63.0,1
47,672.0,916.0,62.0,57.0,1
