#item,x,y,width,height,label
0,434.0,162.0,87.0,65.0,1
1,856.0,795.0,87.0,81.0,1
2,51.0,517.0,96.0,82.0,1
3,925.0,540.0,99.0,105.0,1
4,595.0,364.0,89.0,141.0,1
5,0.0,32.0,45.0,78.0,1
6,112.0,0.0,64.0,33.0,1
7,799.0,487.0,87.0,123.0,1
8,604.0,976.0,71.0,48.0,1
9,258.0,261.0,76.0,75.0,1
10,24.0,475.0,87.0,86.0,1
11,290.0,888.0,107.0,126.0,1
12,447.0,445.0,107.0,88.0,1
13,221.0,636.0,139.0,85.0,1
14,217.0,346.0,130.0,90.0,1
15,831.0,106.0,70.0,109.0,1
16,108.0,283.0,65.0,67.0,1
17,368.0,230.0,67.0,74.0,1
18,833.0,12.0,83.0,127.0,1
19,828.0,961.0,57.0,45.0,1
20,980.0,759.0,44.0,100.0,1
21,412.0,701.0,169.0,156.0,1
22,400.0,0.0,107.0,117.0,1
23,971.0,416.0,53.0,94.0,1
24,636.0,285.0,66.0,83.0,1
25,195.0,990.0,70.0,34.0,1
26,154.0,268.0,127.0,90.0,1
27,9.0,758.0,74.0,105.0,1
28,730.0,684.0,107.0,89.0,1
