#item,x,y,width,height,label
0,52.0,189.0,81.0,101.0,1
1,2.0,934.0,49.0,80.0,1
2,4.0,894.0,27.0,35.0,1
3,561.0,410.0,82.0,66.0,1
4,500.0,116.0,81.0,61.0,1
5,222.0,306.0,84.0,58.0,1
6,289.0,173.0,74.0,58.0,1
7,691.0,707.0,105.0,69.0,1
8,955.0,962.0,69.0,60.0,1
9,449.0,498.0,96.0,116.0,1
10,71.0,102.0,62.0,87.0,1
11,569.0,0.0,98.0,103.0,1
12,712.0,110.0,66.0,51.0,1
13,277.0,492.0,76.0,71.0,1
14,873.0,208.0,91.0,65.0,1
15,381.0,118.0,86.0,55.0,1
16,491.0,238.0,68.0,56.0,1
17,0.0,244.0,30.0,37.0,1
18,689.0,602.0,116.0,81.0,1
19,361.0,443.0,104.0,91.0,1
20,924.0,110.0,89.0,66.0,1
21,959.0,600.0,64.0,60.0,1
22,571.0,204.0,92.0,67.0,1
23,170.0,250.0,66.0,55.0,1
24,605.0,946.0,120.0,78.0,1
25,62.0,481.0,68.0,110.0,1
26,755.0,49.0,41.0,47.0,1
27,828.0,389.0,110.0,76.0,1
28,203.0,89.0,110.0,65.0,1
29,299.0,841.0,52.0,46.0,1
30,562.0,389.0,138.0,60.0,1
31,189.0,400.0,88.0,76.0,1
32,871.0,791.0,111.0,95.0,1
33,6.0,316.0,49.0,41.0,1
