#item,x,y,width,height,label
0,563.0,965.0,90.0,55.0,1
1,882.0,948.0,69.0,76.0,1
2,0.0,352.0,58.0,66.0,1
3,950.0,0.0,74.0,25.0,1
4,954.0,380.0,70.0,55.0,1
5,507.0,207.0,63.0,71.0,1
6,730.0,910.0,83.0,96.0,1
7,435.0,158.0,64.0,72.0,1
8,539.0,698.0,64.0,44.0,1
9,926.0,543.0,73.0,111.0,1
10,609.0,474.0,85.0,86.0,1
11,671.0,22.0,69.0,53.0,1
12,317.0,512.0,83.0,78.0,1
13,801.0,16.0,63.0,62.0,1
14,704.0,286.0,95.0,113.0,1
15,733.0,781.0,101.0,60.0,1
16,794.0,274.0,198.0,102.0,1
17,311.0,41.0,83.0,59.0,1
18,425.0,729.0,187.0,141.0,1
19,388.0,685.0,128.0,66.0,1
20,721.0,0.0,64.0,49.0,1
21,342.0,425.0,75.0,50.0,1
22,536.0,849.0,91.0,74.0,1
23,376.0,265.0,78.0,73.0,1
24,539.0,608.0,78.0,84.0,1
25,58.0,598.0,97.0,116.0,1
26,12.0,966.0,78.0,58.0,1
27,113.0,31.0,84.0,76.0,1
28,900.0,864.0,104.0,75.0,1
29,162.0,319.0,116.0,71.0,1
30,495.0,924.0,68.0,100.0,1
31,498.0,108.0,108.0,87.0,1
32,470.0,301.0,117.0,162.0,1
33,447.0,363.0,51.0,73.0,1
34,0.0,411.0,93.0,72.0,1
