#item,x,y,width,height,label
0,428.0,305.0,147.0,105.0,1
1,609.0,453.0,195.0,186.0,1
2,850.0,388.0,53.0,51.0,1
3,846.0,679.0,77.0,56.0,1
4,886.0,825.0,102.0,190.0,1
5,6.0,432.0,228.0,91.0,1
6,568.0,930.0,104.0,94.0,1
7,976.0,125.0,45.0,73.0,1
8,711.0,196.0,212.0,106.0,1
9,602.0,183.0,39.0,44.0,1
10,774.0,130.0,82.0,74.0,1
11,783.0,758.0,91.0,102.0,1
12,455.0,0.0,69.0,131.0,1
13,126.0,697.0,98.0,107.0,1
14,821.0,316.0,81.0,87.0,1
15,498.0,951.0,79.0,73.0,1
16,439.0,947.0,92.0,76.0,1
17,783.0,394.0,60.0,78.0,1
18,0.0,363.0,183.0,53.0,1
19,0.0,291.0,198.0,69.0,1
20,441.0,761.0,122.0,164.0,1
21,161.0,460.0,71.0,73.0,1
22,946.0,925.0,78.0,99.0,1
23,842.0,216.0,126.0,75.0,1
24,588.0,132.0,140.0,90.0,1
25,693.0,132.0,60.0,53.0,1
26,275.0,765.0,104.0,77.0,1
27,3.0,221.0,318.0,82.0,1
28,781.0,80.0,134.0,61.0,1
29,809.0,304.0,38.0,39.0,1
30,0.0,116.0,62.0,120.0,1
31,324.0,404.0,122.0,103.0,1
32,819.0,691.0,59.0,114.0,1
33,711.0,209.0,50.0,62.0,1
34,413.0,474.0,91.0,217.0,1
35,364.0,714.0,152.0,60.0,1
36,679.0,279.0,137.0,224.0,1
37,263.0,249.0,65.0,85.0,1
38,673.0,281.0,101.0,102.0,1
39,905.0,277.0,95.0,87.0,1
40,188.0,374.0,253.0,79.0,1
41,714.0,826.0,71.0,76.0,1
42,56.0,486.0,79.0,56.0,1
43,557.0,801.0,169.0,69.0,1
44,496.0,364.0,78.0,98.0,1
45,273.0,275.0,169.0,104.0,1
46,972.0,0.0,52.0,17.0,1
47,849.0,124.0,62.0,74.0,1
48,960.0,822.0,64.0,97.0,1
49,777.0,868.0,71.0,63.0,1
50,631.0,316.0,47.0,68.0,1
51,698.0,744.0,83.0,89.0,1
