#item,x,y,width,height,label
0,668.0,663.0,60.0,54.0,1
1,666.0,796.0,82.0,47.0,1
2,494.0,640.0,64.0,47.0,1
3,824.0,355.0,77.0,54.0,1
4,414.0,61.0,75.0,44.0,1
5,469.0,479.0,85.0,57.0,1
6,0.0,727.0,31.0,84.0,1
7,57.0,686.0,73.0,74.0,1
8,538.0,219.0,69.0,67.0,1
9,693.0,0.0,118.0,46.0,1
10,597.0,640.0,65.0,74.0,1
11,654.0,930.0,49.0,51.0,1
12,561.0,494.0,68.0,48.0,1
13,414.0,0.0,103.0,58.0,1
14,726.0,504.0,124.0,65.0,1
15,915.0,854.0,99.0,67.0,1
16,514.0,760.0,113.0,80.0,1
17,454.0,300.0,71.0,50.0,1
18,726.0,178.0,96.0,49.0,1
19,739.0,409.0,149.0,79.0,1
20,556.0,895.0,50.0,46.0,1
21,23.0,549.0,66.0,53.0,1
22,454.0,834.0,45.0,36.0,1
23,622.0,963.0,53.0,40.0,1
24,614.0,92.0,93.0,77.0,1
