#item,x,y,width,height,label
0,758.0,356.0,103.0,108.0,1
1,64.0,119.0,68.0,64.0,1
2,614.0,0.0,80.0,69.0,1
3,237.0,848.0,102.0,93.0,1
4,291.0,749.0,183.0,69.0,1
5,237.0,605.0,74.0,100.0,1
6,263.0,72.0,88.0,85.0,1
7,457.0,0.0,110.0,132.0,1
8,815.0,963.0,128.0,61.0,1
9,52.0,810.0,92.0,89.0,1
10,11.0,376.0,84.0,84.0,1
11,98.0,656.0,139.0,124.0,1
12,862.0,311.0,142.0,85.0,1
13,453.0,551.0,129.0,137.0,1
14,78.0,905.0,89.0,115.0,1
15,127.0,462.0,89.0,76.0,1
16,556.0,355.0,67.0,88.0,1
17,576.0,968.0,64.0,56.0,1
18,652.0,779.0,132.0,72.0,1
19,155.0,0.0,112.0,42.0,1
20,140.0,344.0,97.0,72.0,1
21,418.0,244.0,75.0,143.0,1
22,715.0,0.0,67.0,27.0,1
23,259.0,951.0,86.0,67.0,1
24,348.0,788.0,115.0,143.0,1
25,39.0,490.0,74.0,74.0,1
26,67.0,601.0,86.0,97.0,1
27,0.0,50.0,48.0,113.0,1
28,1.0,0.0,75.0,42.0,1
29,740.0,18.0,100.0,177.0,1
30,588.0,496.0,67.0,68.0,1
31,464.0,149.0,82.0,56.0,1
32,182.0,935.0,72.0,67.0,1
33,457.0,320.0,89.0,105.0,1
34,972.0,177.0,52.0,111.0,1
35,647.0,603.0,146.0,85.0,1
36,4.0,307.0,72.0,52.0,1
37,264.0,239.0,110.0,89.0,1
38,384.0,479.0,91.0,65.0,1
