#item,x,y,width,height,label
0,663.0,911.0,54.0,56.0,1
1,356.0,926.0,68.0,74.0,1
2,613.0,0.0,72.0,56.0,1
3,521.0,256.0,66.0,57.0,1
4,420.0,771.0,73.0,71.0,1
5,759.0,921.0,102.0,79.0,1
6,820.0,861.0,128.0,65.0,1
7,392.0,886.0,69.0,76.0,1
8,708.0,738.0,77.0,64.0,1
9,976.0,646.0,45.0,68.0,1
10,942.0,64.0,79.0,91.0,1
11,829.0,800.0,111.0,54.0,1
12,628.0,884.0,54.0,64.0,1
13,609.0,536.0,58.0,67.0,1
14,515.0,697.0,58.0,86.0,1
15,904.0,739.0,119.0,78.0,1
16,688.0,289.0,77.0,82.0,1
17,487.0,332.0,70.0,63.0,1
18,497.0,815.0,98.0,83.0,1
19,807.0,404.0,75.0,69.0,1
20,390.0,436.0,80.0,81.0,1
21,710.0,963.0,81.0,61.0,1
22,553.0,338.0,68.0,68.0,1
23,409.0,210.0,70.0,112.0,1
24,908.0,170.0,114.0,165.0,1
25,771.0,258.0,105.0,75.0,1
26,765.0,158.0,149.0,109.0,1
27,881.0,368.0,121.0,76.0,1
28,824.0,539.0,73.0,76.0,1
