#item,x,y,width,height,label
0,593.0,455.0,113.0,97.0,1
1,331.0,105.0,49.0,110.0,1
2,727.0,670.0,81.0,138.0,1
3,158.0,493.0,48.0,87.0,1
4,256.0,823.0,51.0,59.0,1
5,19.0,177.0,53.0,71.0,1
6,265.0,957.0,53.0,64.0,1
7,552.0,495.0,62.0,60.0,1
8,40.0,264.0,36.0,64.0,1
9,970.0,43.0,54.0,151.0,1
10,610.0,158.0,64.0,77.0,1
11,465.0,913.0,34.0,34.0,1
12,563.0,673.0,71.0,84.0,1
13,809.0,963.0,96.0,59.0,1
14,346.0,316.0,79.0,83.0,1
15,611.0,266.0,93.0,107.0,1
16,890.0,627.0,62.0,77.0,1
17,207.0,737.0,88.0,86.0,1
18,508.0,615.0,52.0,52.0,1
19,66.0,773.0,85.0,84.0,1
20,923.0,964.0,64.0,59.0,1
21,551.0,0.0,65.0,47.0,1
22,957.0,314.0,67.0,110.0,1
23,0.0,250.0,36.0,92.0,1
24,449.0,669.0,68.0,50.0,1
25,931.0,56.0,80.0,125.0,1
26,225.0,486.0,95.0,95.0,1
27,857.0,496.0,82.0,74.0,1
28,926.0,289.0,38.0,66.0,1
29,521.0,352.0,65.0,117.0,1
30,719.0,337.0,59.0,70.0,1
31,515.0,632.0,80.0,95.0,1
32,404.0,158.0,72.0,136.0,1
33,747.0,376.0,64.0,84.0,1
34,371.0,729.0,84.0,72.0,1
35,232.0,291.0,68.0,74.0,1
36,394.0,325.0,66.0,87.0,1
37,113.0,0.0,70.0,92.0,1
38,710.0,0.0,35.0,47.0,1
39,249.0,128.0,55.0,93.0,1
40,967.0,248.0,57.0,79.0,1
41,529.0,273.0,62.0,67.0,1
42,324.0,31.0,51.0,95.0,1
43,839.0,184.0,77.0,89.0,1
44,802.0,963.0,46.0,51.0,1
45,186.0,847.0,62.0,74.0,1
46,230.0,655.0,77.0,69.0,1
47,366.0,893.0,87.0,67.0,1
48,290.0,3.0,55.0,70.0,1
49,800.0,519.0,54.0,61.0,1
50,340.0,166.0,79.0,79.0,1
51,777.0,805.0,64.0,70.0,1
52,10.0,963.0,71.0,59.0,1
53,455.0,592.0,58.0,74.0,1
54,2.0,488.0,51.0,64.0,1
55,908.0,540.0,75.0,97.0,1
